,臂,超额15bp,超额35bp,年换手,夏普,最大回撤,回撤区间,超额2014-2017,超额2018-2021,超额2022-2026
C,C,0.0983,0.0843,2.9,0.91,-0.539,2015-06-12~2015-09-15,0.0771,0.1571,0.0851
R4d,R4d,0.0374,0.0272,2.2,0.98,-0.368,2015-06-12~2019-02-21,0.0457,0.0431,0.0331
