,臂,超额15bp,超额25bp,超额35bp,年换手,夏普,最大回撤,回撤区间,平均持股,超额2014-2017,超额2018-2021,超额2022-2026
C,C,0.0983,0.0912,0.0843,2.9,0.91,-0.539,2015-06-12~2015-09-15,103.0,0.0771,0.1571,0.0851
R4a,R4a,0.0767,0.0656,0.0546,4.7,0.84,-0.525,2015-06-12~2015-09-15,77.0,0.0676,0.1204,0.0614
