,臂,超额15bp,超额35bp,年换手,夏普,最大回撤,回撤区间,超额2014-2017,超额2018-2021,超额2022-2026
C,C,0.0983,0.0843,2.9,0.91,-0.539,2015-06-12~2015-09-15,0.0771,0.1571,0.0851
R4c,R4c,0.0652,0.0528,2.7,0.93,-0.515,2015-06-12~2015-07-08,0.0852,0.0965,0.0331
