date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2013-10-18,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-21,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-22,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-23,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-24,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-25,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-28,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-29,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-30,1.0,1.0,1.0,1.0,1.0,1.0
2013-10-31,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-01,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-04,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-05,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-06,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-07,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-08,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-11,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-12,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-13,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-14,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-15,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-18,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-19,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-20,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-21,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-22,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-25,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-26,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-27,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-28,1.0,1.0,1.0,1.0,1.0,1.0
2013-11-29,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-02,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-03,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-04,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-05,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-06,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-09,1.0,1.0,1.0,1.0,1.0,1.0
