,年化,年换手
Q1,0.11669432428831183,8.401705339986338
Q2,0.09109534643610107,8.32550626458814
Q3,0.0877627130532781,8.217913291621016
Q4,0.07477660646299356,8.500152165776312
Q5,0.032419153132362766,8.034597459646893
基准(等权全池),0.10905312549401613,
基准,,0.34689198837446034
