,rank_ic
2014-12-31,-0.6229541215718267
2015-01-30,0.11368116333430472
2015-02-27,0.09455935399169733
2015-03-31,0.01580269769902142
2015-04-30,-0.1752860519571102
2015-05-29,-0.4335397392001166
2015-06-30,-0.2383866883926949
2015-07-31,-0.003543872213514911
2015-08-31,-0.017922653631304134
2015-09-30,-0.20104296728960985
2015-10-30,0.17813663548257194
2015-11-30,-0.0012753563851565118
2015-12-31,-0.10801669674804071
2016-01-29,0.10249946905030254
2016-02-29,-0.42288906988782465
2016-03-31,-0.12900805785531733
2016-04-29,-0.03727803583324251
2016-05-31,0.0072147398663195556
2016-06-30,-0.2204679259372854
2016-07-29,-0.17468156757314002
2016-08-31,-0.05195024666234139
2016-09-30,-0.16401688404884057
2016-10-31,0.029583277099391153
2016-11-30,-0.03109542286189119
2016-12-30,0.05268117941639843
2017-01-26,-0.23381783465836173
2017-02-28,0.056115379985048744
2017-03-31,0.2901154654324631
2017-04-28,0.22740318683269298
2017-05-31,-0.1589537577122486
2017-06-30,0.13387248160094412
2017-07-31,-0.1734156680691252
2017-08-31,-0.044112482666169
2017-09-29,0.13716557017365294
2017-10-31,0.058936743167778895
2017-11-30,-0.00666836986377206
2017-12-29,0.04232491340977124
2018-01-31,-0.2706983517609307
2018-02-28,-0.07108719334343784
2018-03-30,4.5620575437356504e-05
2018-04-27,-0.0736423752023112
2018-05-31,0.024394098317563187
2018-06-29,-0.05408597455048852
2018-07-31,0.2770485425116294
2018-08-31,0.08379647959233243
2018-09-28,0.13863629325604668
2018-10-31,-0.30893875285359734
2018-11-30,-0.08308942865586981
2018-12-28,-0.09000860306160036
2019-01-31,-0.2877293313966645
2019-02-28,0.14623786623614243
2019-03-29,-0.05842786076029476
2019-04-30,-0.1229642496365831
2019-05-31,-0.17268910740827023
2019-06-28,-0.031967999679564055
2019-07-31,0.0698567777857713
2019-08-30,-0.18556743419112484
2019-09-30,0.11946578747318835
2019-10-31,0.06486708530727904
2019-11-29,-0.003451017014135674
2019-12-31,-0.005778722280659351
2020-01-23,0.30680084358531984
2020-02-28,-0.13046660184465805
2020-03-31,-0.29260268575445775
2020-04-30,0.0814260323979256
2020-05-29,0.1235422762435644
2020-06-30,-0.06406772895295369
2020-07-31,-0.04512323584491426
2020-08-31,0.06243998393833083
2020-09-30,0.03833331583221952
2020-10-30,-0.05133206874541845
2020-11-30,-0.05026384998580547
2020-12-31,0.13736437518499037
2021-01-29,-0.19914428775269843
2021-02-26,0.04974748179981503
2021-03-31,-0.11631138663429338
2021-04-30,0.0028004241140865455
2021-05-31,0.10545631323235172
2021-06-30,0.19865262261099248
2021-07-30,0.26826262125883316
2021-08-31,-0.1814664338236543
2021-09-30,-0.23431431976063002
2021-10-29,0.014181185907791763
2021-11-30,-0.24902985222780408
2021-12-31,0.048227661696053636
2022-01-28,-0.1278582259547673
2022-02-28,0.038439379766636916
2022-03-31,0.1818528412296364
2022-04-29,-0.39687942173668583
2022-05-31,0.13086856590795987
2022-06-30,-0.21563799418415425
2022-07-29,-0.16812028127961767
2022-08-31,0.12992171412635892
2022-09-30,-0.16966737565523463
2022-10-31,-0.398374292291318
2022-11-30,0.08830729633124078
2022-12-30,-0.38817226314970327
2023-01-31,-0.1284323791901554
2023-02-28,0.1621520779852086
2023-03-31,0.10683628221601106
2023-04-28,0.04139143420713318
2023-05-31,-0.13075958077100178
2023-06-30,-0.1937242839983852
2023-07-31,-0.03246747896792146
2023-08-31,0.06441534829779234
2023-09-28,0.0593921753391435
2023-10-31,0.03227209008982083
2023-11-30,0.0037774826602214144
2023-12-29,0.12303499196575543
2024-01-31,-0.6086455520674162
2024-02-29,0.12331602729152709
2024-03-29,-0.030976192165491537
2024-04-30,0.1400189323933607
2024-05-31,0.20815937046965718
2024-06-28,-0.05116727513540691
2024-07-31,-0.06466434021764085
2024-08-30,-0.10524838872196889
2024-09-30,0.1119115528732545
2024-10-31,-0.10372310568698462
2024-11-29,-0.11483661563282867
2024-12-31,0.10410226534050022
2025-01-27,-0.2997766991069815
2025-02-28,-0.2423523981259791
2025-03-31,0.08331271200661856
2025-04-30,0.079486399605977
2025-05-30,-0.023488974919149534
2025-06-30,0.1111042163894272
2025-07-31,0.18690399823318463
2025-08-29,0.25583321435316125
2025-09-30,-0.10204868060768464
2025-10-31,0.09915562106449087
2025-11-28,-0.14548389350279262
2025-12-31,0.16047329771301377
2026-01-30,0.09942918782678616
2026-02-27,0.06905875592213145
2026-03-31,-0.16491701207737222
2026-04-30,0.09665035633659298
2026-05-29,0.1617192947631669
2026-06-30,-0.5243693923618769
2026-07-31,-0.3618044951078915
