,反转,中期动量,低换手率,Amihud,EP,股息连续性,两融变化,北向净买入,ROE
反转,0.0,-0.0003,0.0968,-0.0352,-0.0341,0.0268,0.0466,0.1066,0.0284
中期动量,-0.0003,0.0,0.1887,-0.2213,-0.0858,0.0273,0.072,0.0341,0.1734
低换手率,0.0968,0.1887,0.0,-0.1469,-0.354,-0.2114,0.1314,-0.0044,-0.0845
Amihud,-0.0352,-0.2213,-0.1469,0.0,-0.1287,-0.1718,-0.0525,-0.0001,-0.2204
EP,-0.0341,-0.0858,-0.354,-0.1287,0.0,0.1693,-0.0312,-0.0136,0.4246
股息连续性,0.0268,0.0273,-0.2114,-0.1718,0.1693,0.0,-0.0286,-0.0111,0.1273
两融变化,0.0466,0.072,0.1314,-0.0525,-0.0312,-0.0286,0.0,-0.1195,0.0173
北向净买入,0.1066,0.0341,-0.0044,-0.0001,-0.0136,-0.0111,-0.1195,0.0,-0.0002
ROE,0.0284,0.1734,-0.0845,-0.2204,0.4246,0.1273,0.0173,-0.0002,0.0
