,rank_ic
2014-12-15,-0.1015910898731157
2014-12-22,0.016266188551904894
2014-12-29,-0.18902194115255724
2015-01-07,-0.11835862507214572
2015-01-14,-0.027509051568554488
2015-01-21,-0.1290069638403228
2015-01-28,-0.0002646927130162266
2015-02-04,-0.004816827743756043
2015-02-11,0.01595337813091333
2015-02-25,0.18023449949207587
2015-03-04,-0.2574593470422786
2015-03-11,0.07398487339813256
2015-03-18,0.019417381691313986
2015-03-25,0.009553961422055383
2015-04-01,-0.09487182732229359
2015-04-09,-0.21165027913527357
2015-04-16,-0.03010944367753291
2015-04-23,-0.09021263593036115
2015-04-30,-0.010764980059990317
2015-05-08,0.09779128164290744
2015-05-15,-0.07849061835739066
2015-05-22,0.047262760800220634
2015-05-29,0.010893282256703971
2015-06-05,0.1250645767775917
2015-06-12,-0.16565234638615758
2015-06-19,-0.15192297150716214
2015-06-29,-0.28324104822032975
2015-07-06,0.06309578373076674
2015-07-13,-0.15983345371137603
2015-07-20,-0.23040628899626314
2015-07-27,-0.21090747596090406
2015-08-03,0.2958237718472936
2015-08-10,0.07247760177794302
2015-08-17,-0.199069954398804
2015-08-24,-0.3723036475723783
2015-08-31,0.110456595906596
2015-09-09,-0.18847461059407458
2015-09-16,0.39125013669250797
2015-09-23,-0.05771103530638958
2015-09-30,0.3145205303079421
2015-10-14,-0.015038696638677634
2015-10-21,0.03594854177350351
2015-10-28,-0.20974112364152264
2015-11-04,0.2935135867270867
2015-11-11,-0.014539377333551162
2015-11-18,0.11650430888077451
2015-11-25,-0.2954842184629166
2015-12-02,0.06671062550082481
2015-12-09,0.13905981723940464
2015-12-16,-0.21194594318708207
2015-12-23,-0.07559468109247054
2015-12-30,-0.3768031237702435
2016-01-07,-0.32075190795760095
2016-01-14,0.2328861999960676
2016-01-21,-0.1527120859716181
2016-01-28,0.11424796062305745
2016-02-04,0.373288181456655
2016-02-18,-0.3089120528467496
2016-02-25,-0.39348715116129956
2016-03-03,-0.02372463464631427
2016-03-10,0.2902057609198374
2016-03-17,0.15673723369011508
2016-03-24,-0.14435887061751573
2016-03-31,0.011284759425004173
2016-04-08,0.01281781095234021
2016-04-15,-0.2599043763644546
2016-04-22,0.08960781393368702
2016-04-29,-0.4038406280751477
2016-05-09,-0.0013713846306933426
2016-05-16,0.020329250313209247
2016-05-23,0.09985543232088265
2016-05-30,0.2921847519674967
2016-06-06,-0.007284003240162666
2016-06-15,-0.10734811103961932
2016-06-22,0.07084423873316237
2016-06-29,-0.13738573796330436
2016-07-06,-0.20515766808180605
2016-07-13,-0.18383781948331646
2016-07-20,-0.3898234366050591
2016-07-27,-0.10220751176161169
2016-08-03,-0.23733652861379037
2016-08-10,0.06526462273612407
2016-08-17,-0.22424208976276028
2016-08-24,-0.07451584690341145
2016-08-31,0.05303473809721012
2016-09-07,-0.10208964615799536
2016-09-14,-0.19676200992897458
2016-09-23,0.11376892654309574
2016-09-30,-0.036698939314097255
2016-10-14,-0.10161414799966466
2016-10-21,-0.13232443668004285
2016-10-28,0.13141647761179115
2016-11-04,-0.03451645624168025
2016-11-11,-0.13948082238516915
2016-11-18,-0.31180019868295783
2016-11-25,-0.330102060628698
2016-12-02,-0.1510243030404325
2016-12-09,0.235712093318301
2016-12-16,-0.12855593731347928
2016-12-23,-0.0834710041717529
2016-12-30,-0.050395642129037146
2017-01-09,-0.41999205900330017
