date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2021-07-26,2.3942830109873925,1.187229288356329,0.7478052312430141,0.5326498752282326,0.41955770359388567,1.2096477223527105
2021-07-27,2.3635415739926215,1.1680827458471312,0.7354326061201487,0.5192197319858487,0.4045373521272537,1.1848212324621692
2021-07-28,2.3120701201629816,1.1418329255925854,0.7173962311418969,0.5077291218567118,0.3973727680172133,1.1590844186687366
2021-07-29,2.333754182284257,1.1561427215242426,0.7301858338614375,0.5183640096108196,0.41058388200197,1.1808595984870816
2021-07-30,2.345767507927702,1.1641241903053263,0.7357224123478243,0.5224695654198475,0.4125325058117641,1.1884874076069565
2021-08-02,2.381551425637984,1.1832272537286452,0.7513056029521735,0.5323398660622239,0.4213692904533364,1.210629634579608
2021-08-03,2.3947678072993543,1.1880759933643652,0.7524314781433779,0.5304341785988399,0.41334681602390144,1.2086758172657157
2021-08-04,2.397032018576451,1.1890306936345298,0.7563097622449094,0.5350489044648764,0.4237284849315121,1.2185236276035913
2021-08-05,2.3881540829794794,1.1816874012322973,0.7519054275307272,0.530741091393705,0.4211724992323718,1.211265546878382
2021-08-06,2.3796706193943025,1.1810952465889397,0.7528989316251066,0.5337289734570456,0.4252633584055338,1.2143210097046826
2021-08-09,2.4136761570038456,1.1963908675243373,0.7640168904419783,0.5404486119004756,0.4283089163925588,1.2293185130882387
2021-08-10,2.431703475684703,1.2056998854992198,0.7715883080359377,0.544383257682035,0.43151001711229153,1.2400204184777577
2021-08-11,2.44182124030513,1.2109547405961036,0.7760469058439183,0.5491066387479677,0.4354396730923582,1.2479766156088183
2021-08-12,2.444530773881442,1.2140065700587472,0.7784950917159561,0.5514333264921313,0.437490652276409,1.2519032159657093
2021-08-13,2.4453355352835318,1.215207097500293,0.7805079286853204,0.5539237778216102,0.4377980647010671,1.2541873509868318
2021-08-16,2.4567413515729584,1.2189651685422134,0.7826395739054111,0.5530521943561226,0.4329271797095605,1.2536326509179363
2021-08-17,2.4133351624652195,1.194893773842129,0.7639554055303305,0.5388689433922915,0.420434574913559,1.2255994249995223
2021-08-18,2.439227392858793,1.2068731337176621,0.7700676785591197,0.5435623304889309,0.42369703954522947,1.2366856330598122
2021-08-19,2.433498602162389,1.2032281071706756,0.7672106274285856,0.5414436651681154,0.4238722646877032,1.233578377808599
2021-08-20,2.419453713933479,1.19908526497687,0.7640404038582668,0.5408968638413553,0.42302964083624156,1.2295447670605555
2021-08-23,2.4626794386174184,1.2218709406481374,0.7785945058609683,0.5521961728838072,0.43294930361616896,1.2541976983062917
2021-08-24,2.475055028516876,1.2258682592502765,0.7824348212243822,0.5558627015601303,0.4379147727745062,1.2630693435243363
2021-08-25,2.499109701955119,1.2378492341813079,0.7883911604884458,0.5603291435557987,0.44234653525234946,1.2745033843738545
2021-08-26,2.5038174999367366,1.2387240464908826,0.7845893366331499,0.5572596414731376,0.43965132529007217,1.2709860520722431
2021-08-27,2.495496143504958,1.2344765403139317,0.7821476574447798,0.5582465193860081,0.4435599193217908,1.2711901580358165
2021-08-30,2.484284318617525,1.2356191399667418,0.7820495045056286,0.5603776211582342,0.44697087777086403,1.2731777729569458
2021-08-31,2.4965196049893246,1.238274552812063,0.782903834190881,0.5606456629862042,0.4493819983552089,1.2778701539882302
2021-09-01,2.512429943335191,1.24633907247431,0.7854092541953492,0.557941861549494,0.4420414754403892,1.2765775751292712
2021-09-02,2.5235772046713763,1.252019188492704,0.794488846953886,0.5674554296766251,0.45182720166021384,1.2918273683805528
2021-09-03,2.5448123087769257,1.2634016166457713,0.7984522992005659,0.5678692476766523,0.44530913686481943,1.294103675285488
2021-09-06,2.5654310945981114,1.2766360363376885,0.8074113390005828,0.5743220430037965,0.44908254731577574,1.306949319366729
2021-09-07,2.587879292963322,1.2884783772374326,0.8151088107370446,0.5819446642392178,0.46049062305737387,1.325473161703205
2021-09-08,2.627851492422006,1.3082997657343158,0.8244870476890874,0.5863788261149547,0.4630407855422258,1.3401837164514767
2021-09-09,2.637545251742753,1.3120113861938814,0.8264779625947488,0.590124163474867,0.4676827086346475,1.3469805059952507
2021-09-10,2.6145843978722816,1.299392929180552,0.8209001408947351,0.5865953836441954,0.4684238094695688,1.3390426360322891
2021-09-13,2.6449697200012183,1.3117938592175158,0.8245358610483253,0.591601561942161,0.4736027889760532,1.3511457673878038
2021-09-14,2.607231787574931,1.2894293331261975,0.8087129060607239,0.5842458905031606,0.46805828246103104,1.3321252182219854
2021-09-15,2.6263390791728245,1.2972006239878995,0.8149858862132046,0.5901212058700788,0.472316972374693,1.3428530188148222
2021-09-16,2.610262958931247,1.2839349085945446,0.8061271003139516,0.5807542739014081,0.46114070301019916,1.3249288251829738
2021-09-17,2.594348382767311,1.2769978484403888,0.8039774211315477,0.5797407309039202,0.45935150485235915,1.3196832244685273
2021-09-22,2.5983619185307885,1.282243195088667,0.8074700024398617,0.5849078397234115,0.46476204655395215,1.3277811851928036
2021-09-23,2.626941117156841,1.2976239366056903,0.8135146851238607,0.5881585917404272,0.4659643550514434,1.3390357042678456
2021-09-24,2.581856826988511,1.275785145962836,0.8003967479343624,0.5782304340757316,0.45457626615973434,1.3145482172920957
2021-09-27,2.513119021667162,1.241395323318384,0.7833303549729759,0.5621270938405292,0.43747429196810406,1.277642863190566
2021-09-28,2.525478339795397,1.2476981283620636,0.7867591897384633,0.5658207540474199,0.43851653640970606,1.2836032313820689
2021-09-29,2.475543690767101,1.2192721660736117,0.7668775836491489,0.5478665795038536,0.4216910969726415,1.2481948989379967
2021-09-30,2.518898810949606,1.2392208432912448,0.7791664532819459,0.557804891819765,0.43097921916274234,1.2716837089186697
2021-10-08,2.5838936277268956,1.270700440701502,0.7954765311378549,0.5645219675850589,0.42843938426132816,1.2915925142096896
2021-10-11,2.5883421613487574,1.2713519925074321,0.7964710745649759,0.5615902462531305,0.42515858327218903,1.2891715527808765
2021-10-12,2.5650527945391364,1.2570164147925182,0.7865497954539806,0.549505146248458,0.4141480391572536,1.2685051661231364
