,rank_ic
2014-12-15,0.3500698138724637
2014-12-22,0.10737431278465427
2014-12-29,-0.04995929242762888
2015-01-07,-0.0922622217202502
2015-01-14,-0.3094829213214816
2015-01-21,-0.32481516054509196
2015-01-28,-0.18577597217281147
2015-02-04,0.0070235386154382075
2015-02-11,-0.014456832642608154
2015-02-25,-0.24127757050520948
2015-03-04,-0.12983969605530277
2015-03-11,-0.02334354940154281
2015-03-18,-0.09173152070962357
2015-03-25,-0.16801791010135714
2015-04-01,-0.10192923709430496
2015-04-09,0.01457161538670967
2015-04-16,-0.1267370577973068
2015-04-23,-0.04393933112582358
2015-04-30,-0.18914358495350722
2015-05-08,-0.33557082083011036
2015-05-15,-0.16813177373961288
2015-05-22,-0.2611791344851722
2015-05-29,-0.07740257619552701
2015-06-05,-0.30777691310344657
2015-06-12,0.1686792255929873
2015-06-19,0.14048986484624357
2015-06-29,0.28087404816201805
2015-07-06,-0.24736553595753377
2015-07-13,0.014042508328118609
2015-07-20,0.034329154748016275
2015-07-27,-0.06326801200448355
2015-08-03,-0.2682923431104584
2015-08-10,-0.23116043837421804
2015-08-17,-0.12746503741561416
2015-08-24,0.06657800133139297
2015-08-31,-0.26340355706132657
2015-09-09,0.03356924293795423
2015-09-16,-0.2926833117619749
2015-09-23,-0.22348110927548773
2015-09-30,0.01950410610176961
2015-10-14,0.030732247095588264
2015-10-21,-0.32329967702329965
2015-10-28,-0.16902447131253018
2015-11-04,-0.10972232637810347
2015-11-11,-0.17055487712641595
2015-11-18,-0.22821706523801016
2015-11-25,-0.1793500485084852
2015-12-02,-0.13290943407565023
2015-12-09,-0.14037108591450648
2015-12-16,-0.2342221053390033
2015-12-23,-0.30106733346795717
2015-12-30,-0.11833452734889978
2016-01-07,-0.05048899841168006
2016-01-14,-0.13463388923642866
2016-01-21,-0.0827095504838284
2016-01-28,-0.20572663710423383
2016-02-04,0.107353273969929
2016-02-18,-0.1584034869390424
2016-02-25,-0.09493684630777142
2016-03-03,-0.2618835518910529
2016-03-10,-0.09201370933627036
2016-03-17,-0.07161951231762055
2016-03-24,-0.1966862224021184
2016-03-31,-0.2623122311892304
2016-04-08,-0.24316557945593031
2016-04-15,-0.13681171114770632
2016-04-22,-0.12042245250623673
2016-04-29,-0.11456758733201881
2016-05-09,0.10322177444102039
2016-05-16,0.027019420245093503
2016-05-23,-0.008516951462394517
2016-05-30,0.06954612837730587
2016-06-06,-0.031582496601445936
2016-06-15,-0.13400095881162555
2016-06-22,-0.09766511297258891
2016-06-29,-0.1456752392740366
2016-07-06,-0.056210669447115974
2016-07-13,-0.26265952689427774
2016-07-20,-0.13345613680392923
2016-07-27,-0.17056915459774225
2016-08-03,-0.13047810589046285
2016-08-10,-0.024229472164825506
