,臂,超额15bp,超额25bp,超额35bp,年换手,夏普,最大回撤,超额2014-2017,超额2018-2021,超额2022-2026
C_base,C_base,0.0967,0.0895,0.0823,3.0,0.9,-0.538,0.0565,0.1695,0.0895
R5,R5,0.057,0.0491,0.0413,3.4,0.8,-0.518,0.0216,0.107,0.0574
