截断,N,超额@15bp,超额@s40,夏普,回撤,换手,冷门>0.8占比,nav
前20%,457.78014184397165,0.04653158371874189,0.02611240848077112,0.5098449805600569,-0.562831684364261,3.7279255467808743,0.461157095873406,"date
2013-06-03    1.000000
2013-06-04    1.000000
2013-06-05    1.000000
2013-06-06    1.000000
2013-06-07    1.000000
                ...   
2026-08-28    3.565055
2026-08-31    3.591913
2026-09-01    3.602583
2026-09-02    3.574132
2026-09-03    3.566488
Length: 3224, dtype: float64"
前10%,229.4964539007092,0.04217128242392865,0.014967092789938796,0.4701673697667778,-0.583380310974718,4.558869631094515,0.5591372354084958,"date
2013-06-03    1.000000
2013-06-04    1.000000
2013-06-05    1.000000
2013-06-06    1.000000
2013-06-07    1.000000
                ...   
2026-08-28    3.116191
2026-08-31    3.143958
2026-09-01    3.149214
2026-09-02    3.124011
2026-09-03    3.117860
Length: 3224, dtype: float64"
前5%,115.14893617021276,0.034310283741870506,0.0015857302254178585,0.42065157903824624,-0.6101224736028308,5.2247888696239135,0.6432083360536752,"date
2013-06-03    1.000000
2013-06-04    1.000000
2013-06-05    1.000000
2013-06-06    1.000000
2013-06-07    1.000000
                ...   
2026-08-28    2.626532
2026-08-31    2.666054
2026-09-01    2.668354
2026-09-02    2.645450
2026-09-03    2.648288
Length: 3224, dtype: float64"
前2%,46.744680851063826,0.00897478919631256,-0.02968915802591443,0.30233464899612933,-0.6533606482487901,6.040926347733243,0.7112563503430992,"date
2013-06-03    1.000000
2013-06-04    1.000000
2013-06-05    1.000000
2013-06-06    1.000000
2013-06-07    1.000000
                ...   
2026-08-28    1.777619
2026-08-31    1.805849
2026-09-01    1.802116
2026-09-02    1.785356
2026-09-03    1.793828
Length: 3224, dtype: float64"
