因子,判定,n_pass,IC均值,t,Q1超额15,Q1超额35,组序ρ,三段,Jaccard_vs_w*,换手,Q1年化,基准年化
C1低换手21,部分通过,3,-0.083910523817194,-5.587216561779372,0.017293971981436673,0.005019329316010568,-0.9999999999999999,"{'2014-2017': np.float64(0.029913201961230484), '2018-2021': np.float64(0.02108643433510604), '2022-2026': np.float64(0.005550962136941839)}",0.1689191180454052,2.8387028518316324,0.08791723393857498,0.0706232619571383
C2换手波动21std,部分通过,3,-0.09221527375030993,-6.810345248070637,0.020031246364700994,0.0008948435541693556,-0.8999999999999998,"{'2014-2017': np.float64(0.04144423820144438), '2018-2021': np.float64(0.020197984316372875), '2022-2026': np.float64(0.004483368706694968)}",0.16913776441766462,4.426579789446365,0.0906545083218393,0.0706232619571383
C3市值代理,通过,4,-0.03898342995724803,-2.3554046966445683,0.0936940318342514,0.08774613528913311,-0.8999999999999998,"{'2014-2017': np.float64(0.12197101431702495), '2018-2021': np.float64(0.044842141588449236), '2022-2026': np.float64(0.12298853791902387)}",0.30061057536251223,1.2839558417472174,0.16139573566079912,0.06770170382654772
C4短动量5/21,未通过,1,-0.04897443074473521,-3.8509474634015497,-0.10522237411963709,-0.13696391720018786,0.6,"{'2014-2017': np.float64(-0.11280158400820639), '2018-2021': np.float64(-0.09706409617441414), '2022-2026': np.float64(-0.11665165763002838)}",0.045392566042357134,8.352276362370732,-0.035623264936004095,0.06959910918363299
