date,code,shares,close,value
2026-09-01,sh.601918,900,10.82,9738.0
2026-09-01,sz.002656,3400,3.03,10302.0
2026-09-01,sz.000599,2100,4.87,10227.0
2026-09-01,sh.603057,500,20.22,10110.0
2026-09-01,sh.600969,1000,10.29,10290.0
2026-09-01,sh.603967,800,11.71,9368.0
2026-09-01,sz.002301,1200,8.19,9828.0
2026-09-01,sh.600525,1900,5.26,9994.0
2026-09-01,sh.600191,900,10.65,9585.0
2026-09-01,sh.600241,1300,7.7,10010.0
2026-09-01,sh.603375,200,39.39,7878.0
2026-09-01,sz.001256,400,23.29,9316.0
2026-09-01,sz.000869,600,16.22,9732.0
2026-09-01,sh.600718,1200,8.36,10032.0
2026-09-01,sh.603156,200,41.42,8284.0
2026-09-01,sh.605567,1000,9.85,9850.0
2026-09-01,sh.600897,600,15.11,9066.0
2026-09-01,sh.603948,500,19.99,9995.0
2026-09-01,sh.605198,100,67.45,6745.0
2026-09-01,sz.002885,300,27.5,8250.0
2026-09-01,sz.002059,2100,4.77,10017.0
2026-09-01,sz.002774,600,15.8,9480.0
2026-09-01,sz.000567,1400,7.09,9926.0
2026-09-01,sh.603217,300,30.58,9174.0
2026-09-01,sz.001333,500,20.83,10415.0
2026-09-01,sz.002380,300,28.86,8658.0
2026-09-01,sz.001368,400,23.84,9536.0
2026-09-01,sz.002905,1200,8.37,10044.0
2026-09-01,sh.603177,900,11.35,10215.0
2026-09-01,sh.603006,900,10.97,9873.0
2026-09-01,sz.002762,1100,9.41,10351.0
2026-09-01,sh.603261,100,56.68,5668.0
2026-09-01,sz.002763,1300,7.75,10075.0
2026-09-01,sz.000906,1700,5.94,10098.0
2026-09-01,sh.603037,900,10.48,9432.0
2026-09-01,sh.600817,1000,9.87,9870.0
2026-09-01,sz.002983,400,21.8,8720.0
2026-09-01,sz.002496,4600,2.24,10304.0
2026-09-01,sh.600455,400,25.29,10116.0
2026-09-01,sh.600569,5600,1.85,10360.0
2026-09-01,sh.600278,1500,6.61,9915.0
2026-09-01,sh.603231,600,16.83,10098.0
2026-09-01,sh.603798,700,13.29,9303.0
2026-09-01,sz.002729,700,14.29,10003.0
2026-09-01,sh.605007,600,15.71,9426.0
2026-09-01,sh.603488,1200,8.35,10020.0
2026-09-01,sh.605069,900,10.69,9621.0
2026-09-01,sz.000042,1100,8.71,9581.0
2026-09-01,sh.600982,2100,4.93,10353.0
2026-09-01,sz.001210,300,28.82,8646.0
2026-09-01,sz.000626,1100,9.32,10252.0
2026-09-01,sh.600195,1500,6.85,10275.0
2026-09-01,sh.603239,700,14.53,10171.0
2026-09-01,sh.603882,300,27.32,8196.0
2026-09-01,sh.603878,2000,5.19,10380.0
2026-09-01,sh.601665,1400,7.13,9982.0
2026-09-01,sh.601598,1500,6.7,10050.0
2026-09-01,sz.002192,100,71.69,7169.0
2026-09-01,sh.603040,200,49.15,9830.0
2026-09-01,sz.001213,2900,3.57,10353.0
2026-09-01,sh.600449,800,12.43,9944.0
2026-09-01,sh.605288,100,66.59,6659.0
2026-09-01,sz.001872,400,24.57,9828.0
2026-09-01,sh.600935,4400,2.37,10428.0
2026-09-01,sz.000798,1000,10.0,10000.0
2026-09-01,sh.601375,2400,4.23,10152.0
2026-09-01,sz.002868,400,23.27,9308.0
2026-09-01,sh.600301,200,47.0,9400.0
2026-09-01,sh.603708,1000,9.57,9570.0
2026-09-01,sz.001238,400,25.4,10160.0
2026-09-01,sh.603779,1200,8.34,10008.0
2026-09-01,sz.002234,1200,8.34,10008.0
2026-09-01,sz.003000,1000,9.82,9820.0
2026-09-01,sh.605319,300,26.81,8043.0
2026-09-01,sh.605303,400,24.62,9848.0
2026-09-01,sh.605507,600,15.44,9264.0
2026-09-01,sh.603172,500,19.29,9645.0
2026-09-01,sz.002058,600,16.94,10164.0
2026-09-01,sz.002642,1400,7.4,10360.0
2026-09-01,sz.000156,1400,7.11,9954.0
2026-09-01,sz.000972,2600,3.93,10218.0
2026-09-01,sz.002935,600,15.88,9528.0
2026-09-01,sh.603206,700,14.17,9919.0
2026-09-01,sh.603085,1000,10.27,10270.0
2026-09-01,sz.002912,500,20.13,10065.0
2026-09-01,sh.601038,600,15.02,9012.0
2026-09-01,sh.603088,1000,10.34,10340.0
2026-09-01,sz.000779,1000,10.14,10140.0
2026-09-01,sh.605318,100,77.89,7789.0
2026-09-01,sh.603933,500,19.38,9690.0
2026-09-01,sh.603391,100,73.48,7348.0
2026-09-01,sh.603777,700,14.06,9842.0
2026-09-01,sh.603180,600,15.91,9546.0
2026-09-01,sh.600851,1100,8.73,9603.0
2026-09-01,sz.000007,800,12.86,10288.0
2026-09-01,sz.002644,1100,8.81,9691.0
2026-09-01,sh.600231,5800,1.78,10324.0
