date,pre_nav,post_nav,月涨幅%,买入额,卖出额,换手率%,费用,分红入账,期末现金,期末持仓,较本金盈亏
2024-01-02,1000000.0,997844.0096494973,,599035.05,0.0,29.9517525,2156.029999999998,0.0,398808.9595068871,599035.0501426102,-2155.9903505026596
2024-02-01,888095.9378171379,886167.1981811,-11.191810582460171,258059.0,149331.46,22.93617404676628,1928.3599999999979,0.0,288208.87903166155,597958.3191494384,-113832.80181890004
2024-03-01,885270.1839990804,883830.1963103947,-0.26372019586169415,151438.28999999998,153869.23,17.243748039768906,1439.7799999999988,0.0,289199.8331033703,594630.3632070243,-116169.80368960532
2024-04-01,945880.7437722968,944192.5291936502,6.829630073202053,186660.49,208525.44,20.889839052222722,1688.2099999999982,0.0,309390.96960257005,634801.5595910802,-55807.47080634977
2024-05-06,930442.8849393397,928542.3189868069,-1.6575231981774685,224614.62,212391.78,23.483784285614192,1900.3899999999976,0.0,295374.96326674864,633167.3557200583,-71457.6810131931
2024-06-03,884555.8419132849,882833.1646433965,-4.922678633892163,185399.06,168280.94,19.99195433693558,1722.1899999999985,0.0,278361.0699838184,604472.094659578,-117166.8353566035
2024-07-01,839435.8864777039,837706.2573369977,-5.1116008226341325,190671.05,142593.0,19.85047669324605,1729.0599999999986,0.0,231975.07305414378,605731.1842828539,-162293.74266300234
2024-08-01,852637.7341511312,850713.7276572211,1.5527483776441198,190292.1,200203.08,22.89924339255106,1923.4699999999982,0.0,241700.8805607093,609012.8470965119,-149286.27234277886
2024-09-02,832957.0356533147,831252.6337035906,-2.287619597631796,175506.51,181660.56,21.439705453707017,1703.8199999999983,0.0,246261.12617533017,584991.5075282605,-168747.3662964094
2024-10-08,1002140.3011950558,999321.4602710967,20.218742143250324,352746.0,363359.73,35.7288160722626,2819.030000000014,0.0,254339.64409886074,744981.8161722359,-678.5397289033281
2024-11-01,1002997.0646839612,1000560.8395654891,0.1240220833500505,286146.0,320320.9,30.23273553602544,2436.2900000000045,0.0,286179.8079050576,714381.0316604315,560.8395654890919
2024-12-02,1090990.6156770377,1089126.1200116547,8.851563737456146,208866.28999999998,298837.26,23.268007199353114,1864.5799999999986,0.0,374401.31494014413,714724.8050715106,89126.12001165468
2025-01-02,1037288.8047737359,1035454.0999724118,-4.9279894268506315,239315.95,220218.91,22.15076736031285,1834.809999999998,0.0,353612.9305543891,681841.1694180227,35454.09997241176
