date,code,shares,close,value
2026-09-01,sh.600883,100,8.27,827.0
2026-09-01,sh.603536,100,9.92,992.0
2026-09-01,sz.000978,100,6.42,642.0
2026-09-01,sh.603648,100,9.45,945.0
2026-09-01,sz.000697,100,8.75,875.0
2026-09-01,sz.002659,200,4.75,950.0
2026-09-01,sz.000925,100,9.15,915.0
2026-09-01,sz.000509,200,3.5,700.0
2026-09-01,sh.601107,100,5.95,595.0
2026-09-01,sh.600676,100,6.91,691.0
2026-09-01,sh.600713,100,5.34,534.0
2026-09-01,sh.603730,100,10.33,1033.0
2026-09-01,sh.600308,300,3.34,1002.0
2026-09-01,sz.002948,100,6.3,630.0
2026-09-01,sh.601326,200,3.64,728.0
2026-09-01,sz.002950,100,9.23,923.0
2026-09-01,sz.002524,200,4.13,826.0
2026-09-01,sh.600653,500,1.76,880.0
2026-09-01,sh.600819,100,5.77,577.0
2026-09-01,sz.002188,100,5.79,579.0
2026-09-01,sz.002283,100,8.21,821.0
2026-09-01,sz.002005,400,2.5,1000.0
2026-09-01,sh.600824,200,3.8,760.0
2026-09-01,sz.002529,100,7.24,724.0
2026-09-01,sh.600307,600,1.52,912.0
2026-09-01,sh.600165,300,3.22,966.0
2026-09-01,sz.002219,400,2.23,892.0
2026-09-01,sh.600748,200,3.9,780.0
2026-09-01,sz.002331,100,7.3,730.0
2026-09-01,sh.603066,100,9.25,925.0
2026-09-01,sz.000659,300,2.94,882.0
2026-09-01,sh.600807,300,2.74,822.0
2026-09-01,sz.002076,400,2.19,876.0
2026-09-01,sh.603017,100,10.11,1011.0
2026-09-01,sh.600960,200,4.1,820.0
2026-09-01,sz.002672,200,3.8,760.0
2026-09-01,sh.600665,200,3.58,716.0
2026-09-01,sz.002758,100,9.3,930.0
2026-09-01,sh.605268,100,9.77,977.0
2026-09-01,sz.000571,100,6.13,613.0
2026-09-01,sh.600936,100,5.22,522.0
2026-09-01,sh.600202,100,5.26,526.0
2026-09-01,sh.600490,100,7.85,785.0
2026-09-01,sh.601825,100,9.04,904.0
2026-09-01,sh.601577,100,9.87,987.0
2026-09-01,sz.000718,500,2.0,1000.0
2026-09-01,sh.603676,100,9.28,928.0
2026-09-01,sz.002658,100,7.79,779.0
2026-09-01,sh.600545,200,4.3,860.0
2026-09-01,sz.000820,200,3.69,738.0
2026-09-01,sh.601368,200,4.63,926.0
2026-09-01,sh.600235,100,5.98,598.0
2026-09-01,sz.002652,200,4.16,832.0
2026-09-01,sh.601588,500,1.78,890.0
2026-09-01,sh.600901,100,6.65,665.0
2026-09-01,sh.600358,100,5.24,524.0
2026-09-01,sz.002445,300,3.44,1032.0
2026-09-01,sh.600966,200,4.9,980.0
2026-09-01,sz.001299,100,10.13,1013.0
2026-09-01,sh.600173,100,6.26,626.0
2026-09-01,sz.000637,200,4.35,870.0
2026-09-01,sz.002474,100,6.6,660.0
2026-09-01,sh.600908,100,5.7,570.0
2026-09-01,sh.601068,200,4.65,930.0
2026-09-01,sz.000518,200,3.98,796.0
2026-09-01,sh.605388,100,6.31,631.0
2026-09-01,sh.603289,100,8.92,892.0
2026-09-01,sh.605055,100,10.05,1005.0
2026-09-01,sh.600683,100,10.42,1042.0
2026-09-01,sz.002062,100,8.19,819.0
2026-09-01,sz.002441,100,8.42,842.0
2026-09-01,sz.002099,100,5.6,560.0
2026-09-01,sz.002775,200,3.7,740.0
2026-09-01,sz.002641,200,4.01,802.0
2026-09-01,sz.002256,300,3.4,1020.0
2026-09-01,sh.603880,100,9.62,962.0
2026-09-01,sh.600814,100,7.05,705.0
2026-09-01,sh.600854,200,4.75,950.0
2026-09-01,sz.000751,100,5.28,528.0
2026-09-01,sh.600222,100,8.58,858.0
2026-09-01,sh.600834,100,7.91,791.0
2026-09-01,sh.603111,100,6.33,633.0
2026-09-01,sz.002374,300,3.21,963.0
2026-09-01,sh.600790,300,3.45,1035.0
2026-09-01,sh.600724,200,5.14,1028.0
2026-09-01,sz.002887,100,9.76,976.0
2026-09-01,sh.600058,100,9.92,992.0
2026-09-01,sz.000809,200,3.48,696.0
2026-09-01,sh.603023,200,4.38,876.0
2026-09-01,sz.000430,100,7.14,714.0
2026-09-01,sz.002500,100,5.46,546.0
2026-09-01,sz.002072,100,9.08,908.0
2026-09-01,sz.002191,200,3.7,740.0
2026-09-01,sz.002968,100,9.76,976.0
2026-09-01,sh.603116,100,6.51,651.0
2026-09-01,sh.603053,100,8.89,889.0
2026-09-01,sh.600369,200,4.15,830.0
2026-09-01,sh.600300,300,3.32,996.0
2026-09-01,sh.601968,200,4.69,938.0
2026-09-01,sz.002960,100,8.65,865.0
2026-09-01,sh.603909,100,9.91,991.0
2026-09-01,sh.600097,100,9.37,937.0
2026-09-01,sz.002836,100,10.05,1005.0
2026-09-01,sh.600865,100,9.71,971.0
2026-09-01,sz.000557,200,3.77,754.0
2026-09-01,sz.002678,100,5.25,525.0
2026-09-01,sz.001338,100,9.35,935.0
2026-09-01,sh.601187,100,7.45,745.0
2026-09-01,sz.000573,200,3.9,780.0
2026-09-01,sz.000899,100,9.48,948.0
2026-09-01,sz.000889,200,4.07,814.0
2026-09-01,sz.002662,300,3.32,996.0
2026-09-01,sz.000908,100,6.47,647.0
2026-09-01,sh.600408,300,3.18,954.0
2026-09-01,sz.002091,100,7.79,779.0
2026-09-01,sz.002478,100,7.26,726.0
2026-09-01,sh.601518,300,2.83,849.0
2026-09-01,sh.600081,100,10.42,1042.0
2026-09-01,sh.600236,100,9.88,988.0
2026-09-01,sz.002638,200,4.71,942.0
2026-09-01,sh.600716,200,3.73,746.0
2026-09-01,sh.600928,200,3.58,716.0
2026-09-01,sh.600639,100,9.52,952.0
2026-09-01,sh.600429,200,4.8,960.0
2026-09-01,sh.600231,500,1.78,890.0
2026-09-01,sh.600382,100,6.52,652.0
2026-09-01,sh.603648,100,9.45,945.0
2026-09-01,sz.000820,200,3.69,738.0
2026-09-01,sz.003000,100,9.82,982.0
2026-09-01,sz.000697,100,8.75,875.0
2026-09-01,sh.600982,200,4.93,986.0
2026-09-01,sh.600653,500,1.76,880.0
2026-09-01,sz.002099,100,5.6,560.0
2026-09-01,sz.002950,100,9.23,923.0
2026-09-01,sh.601665,100,7.13,713.0
2026-09-01,sh.600716,200,3.73,746.0
2026-09-01,sz.001299,100,10.13,1013.0
2026-09-01,sz.002627,100,7.26,726.0
2026-09-01,sh.600517,200,5.19,1038.0
2026-09-01,sz.000529,200,5.11,1022.0
2026-09-01,sz.002076,400,2.19,876.0
2026-09-01,sz.002905,100,8.37,837.0
2026-09-01,sz.002775,200,3.7,740.0
2026-09-01,sh.600834,100,7.91,791.0
2026-09-01,sz.002301,100,8.19,819.0
2026-09-01,sz.000430,100,7.14,714.0
2026-09-01,sh.603909,100,9.91,991.0
2026-09-01,sh.600935,400,2.37,948.0
2026-09-01,sz.000573,200,3.9,780.0
2026-09-01,sz.000755,200,4.91,982.0
2026-09-01,sz.000779,100,10.14,1014.0
2026-09-01,sh.600510,100,7.0,700.0
2026-09-01,sh.600648,100,9.22,922.0
2026-09-01,sh.600858,200,5.1,1020.0
2026-09-01,sh.600743,400,2.26,904.0
2026-09-01,sh.600966,200,4.9,980.0
2026-09-01,sz.002658,100,7.79,779.0
2026-09-01,sh.600780,100,6.4,640.0
2026-09-01,sz.002758,100,9.3,930.0
2026-09-01,sh.600195,100,6.85,685.0
2026-09-01,sz.002069,200,3.81,762.0
2026-09-01,sh.600883,100,8.27,827.0
2026-09-01,sh.603053,100,8.89,889.0
2026-09-01,sz.002817,100,6.88,688.0
2026-09-01,sh.600545,200,4.3,860.0
2026-09-01,sh.603880,100,9.62,962.0
2026-09-01,sz.002188,100,5.79,579.0
2026-09-01,sz.000637,200,4.35,870.0
2026-09-01,sh.600222,100,8.58,858.0
2026-09-01,sh.603007,200,5.12,1024.0
2026-09-01,sz.000631,300,3.01,903.0
2026-09-01,sz.002016,200,4.72,944.0
2026-09-01,sz.002678,100,5.25,525.0
2026-09-01,sh.600676,100,6.91,691.0
2026-09-01,sh.600228,100,9.14,914.0
2026-09-01,sh.603676,100,9.28,928.0
2026-09-01,sz.000751,100,5.28,528.0
2026-09-01,sh.600814,100,7.05,705.0
2026-09-01,sz.000557,200,3.77,754.0
2026-09-01,sz.000791,100,7.29,729.0
2026-09-01,sh.600807,300,2.74,822.0
2026-09-01,sh.603708,100,9.57,957.0
2026-09-01,sh.603488,100,8.35,835.0
2026-09-01,sz.000972,200,3.93,786.0
2026-09-01,sz.002492,100,6.06,606.0
2026-09-01,sh.601333,300,3.12,936.0
2026-09-01,sh.600125,100,5.53,553.0
2026-09-01,sh.600490,100,7.85,785.0
2026-09-01,sz.002060,300,3.25,975.0
2026-09-01,sh.600097,100,9.37,937.0
2026-09-01,sz.000908,100,6.47,647.0
2026-09-01,sh.600165,300,3.22,966.0
2026-09-01,sh.601368,200,4.63,926.0
2026-09-01,sh.600724,200,5.14,1028.0
2026-09-01,sh.600683,100,10.42,1042.0
2026-09-01,sz.002968,100,9.76,976.0
2026-09-01,sz.002283,100,8.21,821.0
2026-09-01,sh.603289,100,8.92,892.0
2026-09-01,sz.002960,100,8.65,865.0
2026-09-01,sz.000717,400,2.35,940.0
2026-09-01,sz.002059,200,4.77,954.0
2026-09-01,sh.600790,300,3.45,1035.0
2026-09-01,sz.000626,100,9.32,932.0
2026-09-01,sh.603111,100,6.33,633.0
2026-09-01,sh.600854,200,4.75,950.0
2026-09-01,sz.001338,100,9.35,935.0
2026-09-01,sh.600960,200,4.1,820.0
2026-09-01,sz.000518,200,3.98,796.0
2026-09-01,sz.000156,100,7.11,711.0
2026-09-01,sz.002662,300,3.32,996.0
2026-09-01,sz.000042,100,8.71,871.0
2026-09-01,sh.600236,100,9.88,988.0
2026-09-01,sz.000978,100,6.42,642.0
2026-09-01,sz.000952,100,6.63,663.0
2026-09-01,sz.002091,100,7.79,779.0
2026-09-01,sh.601619,200,4.08,816.0
2026-09-01,sz.002474,100,6.6,660.0
2026-09-01,sz.002445,300,3.44,1032.0
2026-09-01,sz.002713,100,9.45,945.0
2026-09-01,sh.603335,100,6.63,663.0
2026-09-01,sz.002500,100,5.46,546.0
2026-09-01,sh.600791,100,7.33,733.0
2026-09-01,sh.601827,100,8.21,821.0
2026-09-01,sh.603730,100,10.33,1033.0
2026-09-01,sh.600573,100,10.17,1017.0
2026-09-01,sz.002672,200,3.8,760.0
2026-09-01,sz.002374,300,3.21,963.0
2026-09-01,sh.601518,300,2.83,849.0
2026-09-01,sh.601577,100,9.87,987.0
2026-09-01,sh.603551,100,9.51,951.0
2026-09-01,sh.600202,100,5.26,526.0
2026-09-01,sh.600824,200,3.8,760.0
2026-09-01,sz.002702,100,5.32,532.0
2026-09-01,sz.002331,100,7.3,730.0
2026-09-01,sz.002586,200,4.34,868.0
2026-09-01,sz.002677,100,6.79,679.0
2026-09-01,sz.000599,200,4.87,974.0
2026-09-01,sh.600308,300,3.34,1002.0
2026-09-01,sz.002478,100,7.26,726.0
