date,nav,涨幅%
2026-09-01,997829.01,
2026-09-02,993716.01,-0.4122
2026-09-03,987877.01,-0.5876
2026-09-04,990048.44,0.2198
2026-09-07,993888.83,0.3879
2026-09-08,1003812.1,0.9984
2026-09-09,1001938.22,-0.1867
2026-09-10,994638.64,-0.7285
2026-09-11,981630.0,-1.3079
