date,nav,涨幅%,较本金盈亏
2023-01-03,5997234.48,,-2765.52
2023-01-04,6039066.83,0.6975,39066.83
2023-01-05,6054691.14,0.2587,54691.14
2023-01-06,6036392.89,-0.3022,36392.89
2023-01-09,6072264.87,0.5943,72264.87
2023-01-10,6050165.08,-0.3639,50165.08
2023-01-11,6007466.27,-0.7057,7466.27
2023-01-12,6015900.06,0.1404,15900.06
2023-01-13,6044269.47,0.4716,44269.47
2023-01-16,6092102.79,0.7914,92102.79
2023-01-17,6087548.94,-0.0747,87548.94
2023-01-18,6130693.02,0.7087,130693.02
2023-01-19,6155896.31,0.4111,155896.31
2023-01-20,6193282.84,0.6073,193282.84
2023-01-30,6295209.85,1.6458,295209.85
2023-01-31,6335775.28,0.6444,335775.28
2023-02-01,6426858.03,1.4376,426858.03
2023-02-02,6445233.68,0.2859,445233.68
2023-02-03,6439873.35,-0.0832,439873.35
2023-02-06,6453103.08,0.2054,453103.08
2023-02-07,6499295.19,0.7158,499295.19
2023-02-08,6482141.83,-0.2639,482141.83
2023-02-09,6527509.17,0.6999,527509.17
2023-02-10,6532379.85,0.0746,532379.85
2023-02-13,6588429.24,0.858,588429.24
2023-02-14,6599001.03,0.1605,599001.03
2023-02-15,6608353.56,0.1417,608353.56
2023-02-16,6471605.15,-2.0693,471605.15
2023-02-17,6465325.88,-0.097,465325.88
2023-02-20,6534074.42,1.0633,534074.42
2023-02-21,6556604.82,0.3448,556604.82
2023-02-22,6574959.75,0.2799,574959.75
2023-02-23,6580989.17,0.0917,580989.17
2023-02-24,6585026.58,0.0613,585026.58
2023-02-27,6539750.54,-0.6876,539750.54
2023-02-28,6605372.67,1.0034,605372.67
2023-03-01,6648412.97,0.6516,648412.97
2023-03-02,6633487.3,-0.2245,633487.3
2023-03-03,6618955.5,-0.2191,618955.5
2023-03-06,6624127.9,0.0781,624127.9
2023-03-07,6508767.1,-1.7415,508767.1
2023-03-08,6554976.26,0.71,554976.26
2023-03-09,6558003.32,0.0462,558003.32
2023-03-10,6463920.37,-1.4346,463920.37
2023-03-13,6473743.11,0.152,473743.11
2023-03-14,6385208.28,-1.3676,385208.28
2023-03-15,6469611.3,1.3219,469611.3
2023-03-16,6377929.17,-1.4171,377929.17
2023-03-17,6403469.7,0.4005,403469.7
2023-03-20,6388579.85,-0.2325,388579.85
2023-03-21,6478607.07,1.4092,478607.07
2023-03-22,6513314.27,0.5357,513314.27
2023-03-23,6498096.59,-0.2336,498096.59
2023-03-24,6497648.57,-0.0069,497648.57
2023-03-27,6479680.22,-0.2765,479680.22
2023-03-28,6440365.36,-0.6067,440365.36
2023-03-29,6397584.85,-0.6643,397584.85
2023-03-30,6358716.49,-0.6075,358716.49
2023-03-31,6422732.63,1.0067,422732.63
2023-04-03,6456691.62,0.5287,456691.62
2023-04-04,6372116.07,-1.3099,372116.07
2023-04-06,6323016.79,-0.7705,323016.79
2023-04-07,6376216.71,0.8414,376216.71
2023-04-10,6282794.48,-1.4652,282794.48
2023-04-11,6289388.35,0.105,289388.35
2023-04-12,6338743.5,0.7847,338743.5
2023-04-13,6332633.64,-0.0964,332633.64
2023-04-14,6330699.65,-0.0305,330699.65
2023-04-17,6347451.03,0.2646,347451.03
2023-04-18,6315982.34,-0.4958,315982.34
2023-04-19,6291077.98,-0.3943,291077.98
2023-04-20,6244671.12,-0.7377,244671.12
2023-04-21,6113131.66,-2.1064,113131.66
2023-04-24,6100702.87,-0.2033,100702.87
2023-04-25,5998298.09,-1.6786,-1701.91
2023-04-26,6082519.69,1.4041,82519.69
2023-04-27,6112205.25,0.488,112205.25
2023-04-28,6238189.61,2.0612,238189.61
2023-05-04,6323674.25,1.3703,323674.25
2023-05-05,6296075.06,-0.4364,296075.06
2023-05-08,6318211.58,0.3516,318211.58
2023-05-09,6243594.57,-1.181,243594.57
2023-05-10,6275972.14,0.5186,275972.14
2023-05-11,6335370.42,0.9464,335370.42
2023-05-12,6298160.25,-0.5873,298160.25
2023-05-15,6341744.35,0.692,341744.35
2023-05-16,6302823.2,-0.6137,302823.2
2023-05-17,6372366.39,1.1034,372366.39
2023-05-18,6400879.95,0.4475,400879.95
2023-05-19,6402250.62,0.0214,402250.62
2023-05-22,6444046.75,0.6528,444046.75
2023-05-23,6411196.19,-0.5098,411196.19
2023-05-24,6413910.02,0.0423,413910.02
2023-05-25,6419380.13,0.0853,419380.13
2023-05-26,6442038.35,0.353,442038.35
2023-05-29,6408502.26,-0.5206,408502.26
2023-05-30,6439886.97,0.4897,439886.97
2023-05-31,6413210.86,-0.4142,413210.86
2023-06-01,6412247.31,-0.015,412247.31
2023-06-02,6474631.38,0.9729,474631.38
2023-06-05,6515931.25,0.6379,515931.25
2023-06-06,6401509.9,-1.756,401509.9
2023-06-07,6437326.04,0.5595,437326.04
2023-06-08,6429102.92,-0.1277,429102.92
2023-06-09,6435196.08,0.0948,435196.08
2023-06-12,6497689.35,0.9711,497689.35
2023-06-13,6518178.99,0.3153,518178.99
