date,code,shares,close,value
2026-09-01,sh.601918,100,10.82,1082.0
2026-09-01,sz.002656,500,3.03,1515.0
2026-09-01,sz.000599,300,4.87,1461.0
2026-09-01,sh.600969,100,10.29,1029.0
2026-09-01,sh.603967,100,11.71,1171.0
2026-09-01,sz.002301,200,8.19,1638.0
2026-09-01,sh.600525,300,5.26,1578.0
2026-09-01,sh.600191,100,10.65,1065.0
2026-09-01,sh.600241,200,7.7,1540.0
2026-09-01,sz.000869,100,16.22,1622.0
2026-09-01,sh.600718,200,8.36,1672.0
2026-09-01,sh.605567,100,9.85,985.0
2026-09-01,sh.600897,100,15.11,1511.0
2026-09-01,sz.002059,300,4.77,1431.0
2026-09-01,sz.002774,100,15.8,1580.0
2026-09-01,sz.000567,200,7.09,1418.0
2026-09-01,sz.002905,200,8.37,1674.0
2026-09-01,sh.603177,100,11.35,1135.0
2026-09-01,sh.603006,100,10.97,1097.0
2026-09-01,sz.002762,100,9.41,941.0
2026-09-01,sz.002763,200,7.75,1550.0
2026-09-01,sz.000906,200,5.94,1188.0
2026-09-01,sh.603037,100,10.48,1048.0
2026-09-01,sh.600817,100,9.87,987.0
2026-09-01,sz.002496,700,2.24,1568.0
2026-09-01,sh.600569,900,1.85,1665.0
2026-09-01,sh.600278,200,6.61,1322.0
2026-09-01,sh.603231,100,16.83,1683.0
2026-09-01,sh.603798,100,13.29,1329.0
2026-09-01,sz.002729,100,14.29,1429.0
2026-09-01,sh.605007,100,15.71,1571.0
2026-09-01,sh.603488,200,8.35,1670.0
2026-09-01,sh.605069,100,10.69,1069.0
2026-09-01,sz.000042,100,8.71,871.0
2026-09-01,sh.600982,300,4.93,1479.0
2026-09-01,sz.000626,100,9.32,932.0
2026-09-01,sh.600195,200,6.85,1370.0
2026-09-01,sh.603239,100,14.53,1453.0
2026-09-01,sh.603878,300,5.19,1557.0
2026-09-01,sh.601665,200,7.13,1426.0
2026-09-01,sh.601598,200,6.7,1340.0
2026-09-01,sz.001213,400,3.57,1428.0
2026-09-01,sh.600449,100,12.43,1243.0
2026-09-01,sh.600935,700,2.37,1659.0
2026-09-01,sz.000798,100,10.0,1000.0
2026-09-01,sh.601375,400,4.23,1692.0
2026-09-01,sh.603708,100,9.57,957.0
2026-09-01,sh.603779,200,8.34,1668.0
2026-09-01,sz.002234,200,8.34,1668.0
2026-09-01,sz.003000,100,9.82,982.0
2026-09-01,sh.605507,100,15.44,1544.0
2026-09-01,sz.002058,100,16.94,1694.0
2026-09-01,sz.002642,200,7.4,1480.0
2026-09-01,sz.000156,200,7.11,1422.0
2026-09-01,sz.000972,400,3.93,1572.0
2026-09-01,sz.002935,100,15.88,1588.0
2026-09-01,sh.603206,100,14.17,1417.0
2026-09-01,sh.603085,100,10.27,1027.0
2026-09-01,sh.601038,100,15.02,1502.0
2026-09-01,sh.603088,100,10.34,1034.0
2026-09-01,sz.000779,100,10.14,1014.0
2026-09-01,sh.603777,100,14.06,1406.0
2026-09-01,sh.603180,100,15.91,1591.0
2026-09-01,sh.600851,100,8.73,873.0
2026-09-01,sz.000007,100,12.86,1286.0
2026-09-01,sz.002644,100,8.81,881.0
2026-09-01,sh.600231,900,1.78,1602.0
2026-09-01,sh.601999,200,6.39,1278.0
2026-09-01,sh.601827,200,8.21,1642.0
2026-09-01,sz.002264,200,6.98,1396.0
2026-09-01,sz.002348,100,11.19,1119.0
2026-09-01,sh.601059,100,17.09,1709.0
2026-09-01,sh.603190,100,17.03,1703.0
2026-09-01,sh.601388,400,3.51,1404.0
