date,code,shares,close,value
2026-09-01,sh.601918,400,10.82,4328.0
2026-09-01,sz.002656,1700,3.03,5151.0
2026-09-01,sz.000599,1000,4.87,4870.0
2026-09-01,sh.603057,200,20.22,4044.0
2026-09-01,sh.600969,500,10.29,5145.0
2026-09-01,sh.603967,400,11.71,4684.0
2026-09-01,sz.002301,600,8.19,4914.0
2026-09-01,sh.600525,900,5.26,4734.0
2026-09-01,sh.600191,400,10.65,4260.0
2026-09-01,sh.600241,600,7.7,4620.0
2026-09-01,sh.603375,100,39.39,3939.0
2026-09-01,sz.001256,200,23.29,4658.0
2026-09-01,sz.000869,300,16.22,4866.0
2026-09-01,sh.600718,600,8.36,5016.0
2026-09-01,sh.603156,100,41.42,4142.0
2026-09-01,sh.605567,500,9.85,4925.0
2026-09-01,sh.600897,300,15.11,4533.0
2026-09-01,sh.603948,200,19.99,3998.0
2026-09-01,sz.002885,100,27.5,2750.0
2026-09-01,sz.002059,1000,4.77,4770.0
2026-09-01,sz.002774,300,15.8,4740.0
2026-09-01,sz.000567,700,7.09,4963.0
2026-09-01,sh.603217,100,30.58,3058.0
2026-09-01,sz.001333,200,20.83,4166.0
2026-09-01,sz.002380,100,28.86,2886.0
2026-09-01,sz.001368,200,23.84,4768.0
2026-09-01,sz.002905,600,8.37,5022.0
2026-09-01,sh.603177,400,11.35,4540.0
2026-09-01,sh.603006,400,10.97,4388.0
2026-09-01,sz.002762,500,9.41,4705.0
2026-09-01,sz.002763,600,7.75,4650.0
2026-09-01,sz.000906,800,5.94,4752.0
2026-09-01,sh.603037,400,10.48,4192.0
2026-09-01,sh.600817,500,9.87,4935.0
2026-09-01,sz.002983,200,21.8,4360.0
2026-09-01,sz.002496,2300,2.24,5152.0
2026-09-01,sh.600455,200,25.29,5058.0
2026-09-01,sh.600569,2800,1.85,5180.0
2026-09-01,sh.600278,700,6.61,4627.0
2026-09-01,sh.603231,300,16.83,5049.0
2026-09-01,sh.603798,300,13.29,3987.0
2026-09-01,sz.002729,300,14.29,4287.0
2026-09-01,sh.605007,300,15.71,4713.0
2026-09-01,sh.603488,600,8.35,5010.0
2026-09-01,sh.605069,400,10.69,4276.0
2026-09-01,sz.000042,500,8.71,4355.0
2026-09-01,sh.600982,1000,4.93,4930.0
2026-09-01,sz.001210,100,28.82,2882.0
2026-09-01,sz.000626,500,9.32,4660.0
2026-09-01,sh.600195,700,6.85,4795.0
2026-09-01,sh.603239,300,14.53,4359.0
2026-09-01,sh.603882,100,27.32,2732.0
2026-09-01,sh.603878,1000,5.19,5190.0
2026-09-01,sh.601665,700,7.13,4991.0
2026-09-01,sh.601598,700,6.7,4690.0
2026-09-01,sh.603040,100,49.15,4915.0
2026-09-01,sz.001213,1400,3.57,4998.0
2026-09-01,sh.600449,400,12.43,4972.0
2026-09-01,sz.001872,200,24.57,4914.0
2026-09-01,sh.600935,2200,2.37,5214.0
2026-09-01,sz.000798,500,10.0,5000.0
2026-09-01,sh.601375,1200,4.23,5076.0
2026-09-01,sz.002868,200,23.27,4654.0
2026-09-01,sh.600301,100,47.0,4700.0
2026-09-01,sh.603708,500,9.57,4785.0
2026-09-01,sz.001238,200,25.4,5080.0
2026-09-01,sh.603779,600,8.34,5004.0
2026-09-01,sz.002234,600,8.34,5004.0
2026-09-01,sz.003000,500,9.82,4910.0
2026-09-01,sh.605319,100,26.81,2681.0
2026-09-01,sh.605303,200,24.62,4924.0
2026-09-01,sh.605507,300,15.44,4632.0
2026-09-01,sh.603172,200,19.29,3858.0
2026-09-01,sz.002058,300,16.94,5082.0
2026-09-01,sz.002642,700,7.4,5180.0
2026-09-01,sz.000156,700,7.11,4977.0
2026-09-01,sz.000972,1300,3.93,5109.0
2026-09-01,sz.002935,300,15.88,4764.0
2026-09-01,sh.603206,300,14.17,4251.0
2026-09-01,sh.603085,500,10.27,5135.0
2026-09-01,sz.002912,200,20.13,4026.0
2026-09-01,sh.601038,300,15.02,4506.0
2026-09-01,sh.603088,500,10.34,5170.0
2026-09-01,sz.000779,500,10.14,5070.0
2026-09-01,sh.603933,200,19.38,3876.0
2026-09-01,sh.603777,300,14.06,4218.0
