date,pre_nav,post_nav,月涨幅%,买入额,卖出额,换手率%,费用,分红入账,期末现金,期末持仓,较本金盈亏
2021-01-04,3000000.0,2997572.797389883,,2720261.0199999996,0.0,45.33768366666666,2427.5299999999856,0.0,277311.78566838126,2720261.011721502,-2427.2026101169176
2021-02-01,2728672.045370277,2726363.230630879,-9.047639043000332,702017.26,630969.74,24.42556265165086,2308.6500000000033,0.0,203955.4584987328,2522407.772132146,-273636.7693691212
2021-03-01,2906091.454628359,2904037.6754742214,6.516902914738498,650979.8299999998,661312.46,22.57830337565581,2053.919999999994,0.0,212234.30847637317,2691803.3669978483,-95962.32452577865
2021-04-01,3007795.1389383175,3005364.2571917092,3.489162092256315,756905.2599999999,781005.28,25.565413682775734,2430.9400000000032,0.0,233903.434890595,2771460.8223011144,5364.257191709243
2021-05-06,3047810.902405362,3045242.039639902,1.3268868275373435,846455.14,843918.0700000001,27.730939748688822,2568.930000000002,0.0,232791.62958768968,2812450.410052212,45242.039639901835
2021-06-01,3193856.1897280393,3191431.659879762,4.800591162768364,854010.6799999999,864685.76,26.90629035721156,2424.5199999999977,0.0,256750.8391088866,2934680.8207708756,191431.6598797622
2021-07-01,3175271.8187820395,3172709.1379151857,-0.5866496281258904,899252.8,850369.29,27.550745099219796,2562.6900000000005,0.0,237893.39605965957,2934815.741855526,172709.13791518565
2021-08-02,3172471.7930180565,3169677.871380668,-0.09554189819332981,881472.3200000001,882562.58,27.802215671109664,2793.950000000009,0.0,246712.4854382745,2922965.3859423934,169677.87138066813
2021-09-01,3346782.754319958,3344299.343870124,5.509123626288015,813325.9400000001,814269.0,24.315814014207138,2483.3600000000024,0.0,245869.52791126262,3098429.8159588613,344299.34387012385
2021-10-08,3449654.390649449,3447204.607188146,3.077035059874067,833779.7400000001,836167.97,24.2045654562747,2449.9400000000032,0.0,246446.6657378981,3200757.941450248,447204.6071881461
2021-11-01,3293556.3942489913,3291369.402090207,-4.52062534300951,674707.3,647539.38,20.07323576284935,2186.909999999998,0.0,218768.448314911,3072600.953775296,291369.4020902072
2021-12-01,3615900.4976846245,3613261.1855284385,9.779874092340158,901925.66,941750.77,25.494014992676988,2639.42000000001,0.0,256133.00684358718,3357128.178684851,613261.1855284385
2022-01-04,3910306.607239472,3907450.3957023188,8.141930380016383,1048220.5399999999,1148488.8900000001,28.088710817881278,2856.0600000000154,0.0,354365.3756500488,3553085.02005227,907450.3957023188
2022-02-07,3702279.065018925,3699615.658575786,-5.318934754875548,1047063.78,966540.8,27.194122115558393,2663.520000000011,0.0,271667.23324379645,3427948.4253319893,699615.6585757858
2022-03-01,3887466.849185114,3885310.0542887836,5.019288835653901,726302.16,783395.8300000001,19.41750307551126,2156.749999999998,0.0,326604.11248686264,3558705.941801921,885310.0542887836
2022-04-01,3813273.408485424,3810403.978981913,-1.9279304421068177,1109839.85,1124178.64,29.292660801986912,2869.3700000000176,0.0,338073.4695901967,3472330.509391716,810403.9789819131
2022-05-05,3422856.537920472,3419471.0752107427,-10.25961829579084,1188878.24,1124654.76,33.795354470298186,3385.7700000000304,0.0,272957.9759723768,3146513.099238366,419471.07521074265
