,臂,超额15bp,超额35bp,年换手,夏普,最大回撤,回撤区间,超额2014-2017,超额2018-2021,超额2022-2026
R5,R5,0.057,0.057,3.4,0.8,-0.518,2015-06-12~2015-09-15,0.0216,0.107,0.0574
R5+4c,R5+4c,0.0289,0.0152,3.0,0.81,-0.474,2015-06-12~2015-07-08,0.0298,0.0594,0.0083
