臂,超额15bp,夏普,回撤,换手,净值,Jaccard_vs_A
A 现R5,0.0719611229507382,0.6969896098181607,-0.5048363841389936,3.450369010103649,6.024157141770867,1.0
B 三因子(含F4),0.07766377120338364,0.7287307971455338,-0.49613166407903586,3.9549881591988663,6.4341515582369615,0.5834079519019018
C 0.85Amihud+0.15F4,0.08304860947076409,0.7388590294850962,-0.4925813289862576,3.2693437630946076,6.84483365852993,0.7841297658490288
