date,nav,涨幅%
2026-09-01,996749.92,
2026-09-02,993180.93,-0.3581
2026-09-03,987607.99,-0.5611
2026-09-04,990388.45,0.2815
2026-09-07,994144.83,0.3793
2026-09-08,1004610.1,1.0527
2026-09-09,1002757.22,-0.1844
2026-09-10,995942.64,-0.6796
2026-09-11,983012.0,-1.2983
2026-09-14,985582.1,0.2615
2026-09-15,970140.39,-1.5668
2026-09-16,975814.42,0.5849
2026-09-17,978749.67,0.3008
2026-09-18,981611.54,0.2924
2026-09-21,996150.18,1.4811
2026-09-22,997050.31,0.0904
2026-09-23,992456.28,-0.4608
2026-09-24,991257.15,-0.1208
