date,pre_nav,post_nav,月涨幅%,买入额,卖出额,换手率%,费用,分红入账,期末现金,期末持仓,较本金盈亏
2020-01-02,6000000.0,5989128.403229668,,5633507.82,0.0,46.945898500000006,10871.299999999996,0.0,355620.6083106774,5633507.794918991,-10871.596770332195
2020-02-03,5381487.625940696,5379047.444930389,-10.186473176469047,642046.1499999999,288901.15,8.649534893590582,2440.17,0.0,35.415666921909974,5379012.029263467,-620952.5550696114
2020-03-02,6027229.134939264,6014960.019443494,11.82202947684421,2381630.5300000003,2725300.19,42.36549337734331,12269.00000000001,0.0,331435.9685594811,5683524.050884013,14960.019443494268
2020-04-01,5765725.752607359,5754686.843617581,-4.327097353674414,2372933.9299999997,2271531.73,40.2765051554845,11039.059999999998,0.0,218994.86356300727,5535691.980054573,-245313.15638241917
2020-05-06,5886525.140885503,5877724.958731564,2.138050574384298,1794180.7000000002,1823865.3199999998,30.731594050881277,8800.100000000006,0.0,241791.53815060388,5635933.42058096,-122275.04126843624
2020-06-01,6178235.94447989,6169834.226731017,4.969767555481064,1720895.12,1703067.72,27.709874394318255,8401.920000000007,0.0,247788.11646223543,5922046.110268782,169834.22673101723
2020-07-01,6366521.531092341,6357253.9693970755,3.037678741092531,1936491.84,1879830.35,29.97179991744418,9267.289999999997,0.0,237498.9951261348,6119754.974270941,357253.9693970755
2020-08-03,7360347.179873901,7349389.201227058,15.606348851343377,2302167.59,2423734.11,32.10379608806011,10958.200000000006,0.0,385334.01384769054,6964055.187379368,1349389.2012270577
2020-09-01,7463760.829595718,7453607.514873046,1.418054083033038,2235789.6399999997,2175259.88,29.5497780589985,10153.28,0.0,317817.57345131255,7135789.941421734,1453607.5148730464
2020-10-09,7034920.445462234,7025201.618164772,-5.747631544234466,2110521.69,2075591.8199999998,29.752386984704195,9719.010000000002,0.0,278292.86923345877,6746908.748931313,1025201.6181647722
2020-11-02,6787993.636565527,6780271.775871116,-3.4864457364519152,1606825.74,1520176.04,23.033328752368625,7722.000000000004,0.0,185208.57097502932,6595063.204896087,780271.7758711157
2020-12-01,7279513.092208637,7270252.206891361,7.226560338833821,1882094.67,2011901.67,26.746269226219248,9261.070000000005,0.0,305754.6793681536,6964497.5275232075,1270252.2068913607
2021-01-04,6967828.049268539,6957438.867015719,-4.3026477070373215,2196918.0599999996,2140216.91,31.122574633965733,10389.319999999987,0.0,238735.49490151895,6718703.3721142,957438.8670157194
2021-02-01,6293556.049366268,6285316.560426449,-9.66048454662981,1661536.24,1629636.44,26.14716270248682,8239.600000000002,0.0,198596.20413007724,6086720.356296373,285316.5604264494
2021-03-01,6716294.1247156905,6708530.413850275,6.733373718810931,1577535.8599999999,1602801.8399999999,23.676283683709485,7763.499999999999,0.0,216098.48890623287,6492431.924944042,708530.4138502749
2021-04-01,6953558.397260478,6944636.940410826,3.5194969985243185,1860488.74,1839362.61,26.60401436664173,8921.610000000008,0.0,186050.90302481002,6758586.037386016,944636.9404108264
2021-05-06,7045146.850303767,7035505.844154211,1.3084759437115956,1988728.81,2060898.53,28.74054598184416,9641.070000000009,0.0,257553.1562194429,6777952.687934767,1035505.8441542108
