date,pre_nav,post_nav,月涨幅%,买入额,卖出额,换手率%,费用,分红入账,期末现金,期末持仓,较本金盈亏
2021-01-04,600000.0,597721.8644797286,,336513.58999999997,0.0,28.042799166666665,2278.3,0.0,261208.27489587443,336513.5895838542,-2278.135520271375
2021-02-01,562487.4829911873,561051.6587213352,-6.134994875971622,111820.39,70634.57,16.218579569961616,1435.9299999999992,0.0,218586.6332414287,342465.02547990653,-38948.34127866477
2021-03-01,586957.7868158236,585621.4069321752,4.379231008216888,89407.05999999998,95211.54999999999,15.726736585396885,1336.3399999999995,0.0,223054.74492341236,362566.6620087628,-14378.59306782484
2021-04-01,602794.4749803905,601303.0743459585,2.677782476554791,85921.11,122716.3,17.30584956064728,1491.4699999999993,0.0,258358.52877929504,342944.5455666635,1303.0743459585356
2021-05-06,608693.3981452099,606977.8955869703,0.9437539043325671,120890.63999999998,123362.04,20.063687296780166,1715.609999999999,0.0,259154.37825543762,347823.51733153267,6977.895586970262
2021-06-01,627427.142857226,625888.5970866558,3.115550275747392,107955.96,114692.67000000001,17.7429867782007,1538.5599999999993,0.0,265615.60444002267,360272.9926466331,25888.59708665579
2021-07-01,622324.629642615,620697.5004454339,-0.8293962640292696,118433.62999999999,111091.75,18.440968673520967,1627.1299999999992,0.0,258854.22626300895,361843.27418242494,20697.500445433892
2021-08-02,620666.6588525701,619111.38650251,-0.2555373498017266,117366.31,101019.51999999999,17.592843669396636,1555.2200000000003,0.0,242127.3007978253,376984.0857046847,19111.386502510053
2021-09-01,643898.3035850812,642435.0741642467,3.7672845581951053,96195.1,120883.0,16.856551631783923,1463.2200000000007,0.0,265457.01318300754,376978.06098123913,42435.074164246675
2021-10-08,656220.4304398793,654734.618625731,1.9145194520216569,117139.0,103946.23,16.84534797642627,1485.7699999999998,0.0,250877.6752118624,403856.94341386855,54734.618625730975
2021-11-01,630721.0567947883,629544.0272381784,-3.8474506572490186,89283.05999999998,78215.0,13.278299352426506,1177.0299999999995,0.0,238632.59548256363,390911.4317556148,29544.027238178416
2021-12-01,667433.1012198135,665904.6049734434,5.775700532777606,113375.0,118059.69,17.337669466574667,1528.4900000000005,0.0,241788.79858940715,424115.8063840363,65904.60497344343
2022-01-04,709009.1445066294,707281.5662762754,6.21364696892015,98430.85,168630.66999999998,18.83343269047942,1727.3400000000001,0.0,310359.64946694893,396921.9168093265,107281.56627627544
2022-02-07,685791.957650828,684105.9128875074,-3.2767223824005764,136761.53,116684.0,18.478310161887475,1685.9200000000014,0.0,288657.0966565524,395448.81623095495,84105.91288750735
2022-03-01,707165.4409874325,706039.4626412422,3.206162867553153,67497.17,104008.77,12.126295351800707,1125.8400000000004,0.0,324042.72004966583,381996.74259157636,106039.4626412422
2022-04-01,706399.2454387898,704559.8738970059,-0.20956176283705163,136508.0,138430.09000000003,19.460531121407016,1839.3400000000001,0.0,324125.42877694627,380434.44512005965,104559.87389700592
2022-05-05,661874.1454146728,659638.4965335205,-6.375806943847062,192004.97,124737.0,23.92765846757445,2235.6800000000026,0.0,254960.43013990173,404678.0663936188,59638.49653352052
2022-06-01,704336.8774744289,702499.906219623,6.497711990938115,128635.92000000001,148124.89,19.64690610779839,1836.8800000000006,0.0,274329.39644980954,428170.5097698135,102499.90621962305
