date,nav,涨幅%,较本金盈亏
2020-01-02,597597.07,,-2402.93
2020-01-03,599017.24,0.2376,-982.76
2020-01-06,601516.01,0.4171,1516.01
2020-01-07,605784.8,0.7097,5784.8
2020-01-08,600614.19,-0.8535,614.19
2020-01-09,605408.25,0.7982,5408.25
2020-01-10,603801.96,-0.2653,3801.96
2020-01-13,606093.62,0.3795,6093.62
2020-01-14,606877.08,0.1293,6877.08
2020-01-15,603269.48,-0.5945,3269.48
2020-01-16,600724.98,-0.4218,724.98
2020-01-17,598894.57,-0.3047,-1105.43
2020-01-20,601915.54,0.5044,1915.54
2020-01-21,598320.1,-0.5973,-1679.9
2020-01-22,597015.91,-0.218,-2984.09
2020-01-23,586822.85,-1.7073,-13177.15
2020-02-03,554545.49,-5.5004,-45454.51
2020-02-04,546939.39,-1.3716,-53060.61
2020-02-05,557538.12,1.9378,-42461.88
2020-02-06,566151.11,1.5448,-33848.89
2020-02-07,569492.04,0.5901,-30507.96
2020-02-10,577751.44,1.4503,-22248.56
2020-02-11,574991.16,-0.4778,-25008.84
2020-02-12,580304.82,0.9241,-19695.18
2020-02-13,574936.36,-0.9251,-25063.64
2020-02-14,574650.8,-0.0497,-25349.2
2020-02-17,587946.21,2.3137,-12053.79
2020-02-18,594074.18,1.0423,-5925.82
2020-02-19,593240.1,-0.1404,-6759.9
2020-02-20,602655.32,1.5871,2655.32
2020-02-21,605933.41,0.5439,5933.41
2020-02-24,609455.85,0.5813,9455.85
2020-02-25,606267.08,-0.5232,6267.08
2020-02-26,605997.44,-0.0445,5997.44
2020-02-27,608170.33,0.3586,8170.33
2020-02-28,586129.34,-3.6241,-13870.66
2020-03-02,601672.85,2.6519,1672.85
2020-03-03,606331.4,0.7743,6331.4
2020-03-04,612585.29,1.0314,12585.29
2020-03-05,621095.49,1.3892,21095.49
2020-03-06,622348.62,0.2018,22348.62
2020-03-09,612423.2,-1.5948,12423.2
2020-03-10,619170.73,1.1018,19170.73
2020-03-11,618202.03,-0.1565,18202.03
2020-03-12,610896.35,-1.1818,10896.35
2020-03-13,606794.41,-0.6715,6794.41
2020-03-16,595600.64,-1.8447,-4399.36
2020-03-17,594227.69,-0.2305,-5772.31
2020-03-18,588209.93,-1.0127,-11790.07
2020-03-19,591670.87,0.5884,-8329.13
2020-03-20,597714.69,1.0215,-2285.31
2020-03-23,586185.95,-1.9288,-13814.05
2020-03-24,592320.72,1.0466,-7679.28
2020-03-25,600534.98,1.3868,534.98
2020-03-26,596547.72,-0.664,-3452.28
2020-03-27,595489.38,-0.1774,-4510.62
2020-03-30,588906.76,-1.1054,-11093.24
2020-03-31,589974.74,0.1814,-10025.26
2020-04-01,584686.33,-0.8964,-15313.67
2020-04-02,589636.56,0.8466,-10363.44
2020-04-03,589249.27,-0.0657,-10750.73
2020-04-07,598635.72,1.593,-1364.28
2020-04-08,601890.95,0.5438,1890.95
2020-04-09,603829.71,0.3221,3829.71
2020-04-10,597144.54,-1.1071,-2855.46
2020-04-13,594619.15,-0.4229,-5380.85
2020-04-14,599200.77,0.7705,-799.23
2020-04-15,595980.53,-0.5374,-4019.47
2020-04-16,595892.83,-0.0147,-4107.17
2020-04-17,594718.48,-0.1971,-5281.52
2020-04-20,597672.17,0.4967,-2327.83
2020-04-21,596072.07,-0.2677,-3927.93
2020-04-22,598619.5,0.4274,-1380.5
2020-04-23,598292.07,-0.0547,-1707.93
2020-04-24,592417.72,-0.9819,-7582.28
2020-04-27,589612.05,-0.4736,-10387.95
2020-04-28,581892.13,-1.3093,-18107.87
2020-04-29,581297.86,-0.1021,-18702.14
2020-04-30,586318.55,0.8637,-13681.45
2020-05-06,588562.91,0.3828,-11437.09
2020-05-07,587841.29,-0.1226,-12158.71
2020-05-08,591978.36,0.7038,-8021.64
2020-05-11,591537.14,-0.0745,-8462.86
2020-05-12,590561.78,-0.1649,-9438.22
2020-05-13,592327.62,0.299,-7672.38
2020-05-14,589601.96,-0.4602,-10398.04
2020-05-15,590539.29,0.159,-9460.71
2020-05-18,590804.62,0.0449,-9195.38
2020-05-19,593943.6,0.5313,-6056.4
2020-05-20,593059.41,-0.1489,-6940.59
2020-05-21,592400.4,-0.1111,-7599.6
2020-05-22,588391.94,-0.6766,-11608.06
2020-05-25,589566.76,0.1997,-10433.24
2020-05-26,594888.43,0.9026,-5111.57
2020-05-27,595731.74,0.1418,-4268.26
2020-05-28,595595.74,-0.0228,-4404.26
2020-05-29,598238.04,0.4436,-1761.96
2020-06-01,604594.81,1.0626,4594.81
2020-06-02,608141.0,0.5865,8141.0
2020-06-03,607595.92,-0.0896,7595.92
2020-06-04,610566.95,0.489,10566.95
2020-06-05,609701.39,-0.1418,9701.39
2020-06-08,608502.84,-0.1966,8502.84
2020-06-09,610433.17,0.3172,10433.17
2020-06-10,608953.74,-0.2424,8953.74
2020-06-11,607709.69,-0.2043,7709.69
2020-06-12,608129.63,0.0691,8129.63
2020-06-15,607668.98,-0.0757,7668.98
2020-06-16,611703.19,0.6639,11703.19
2020-06-17,613745.74,0.3339,13745.74
2020-06-18,613674.01,-0.0117,13674.01
2020-06-19,614219.22,0.0888,14219.22
2020-06-22,613786.05,-0.0705,13786.05
2020-06-23,613245.77,-0.088,13245.77
2020-06-24,610888.54,-0.3844,10888.54
2020-06-29,608477.7,-0.3946,8477.7
2020-06-30,612954.84,0.7358,12954.84
2020-07-01,614576.56,0.2646,14576.56
2020-07-02,620799.09,1.0125,20799.09
2020-07-03,627052.43,1.0073,27052.43
2020-07-06,643402.55,2.6075,43402.55
2020-07-07,644112.05,0.1103,44112.05
2020-07-08,652704.46,1.334,52704.46
2020-07-09,662390.5,1.484,62390.5
2020-07-10,657398.7,-0.7536,57398.7
2020-07-13,670465.75,1.9877,70465.75
