date,nav,涨幅%,较本金盈亏
2023-01-03,5988907.09,,-11092.91
2023-01-04,6030739.44,0.6985,30739.44
2023-01-05,6046363.75,0.2591,46363.75
2023-01-06,6028065.5,-0.3026,28065.5
2023-01-09,6063937.48,0.5951,63937.48
2023-01-10,6041837.69,-0.3644,41837.69
2023-01-11,5999138.88,-0.7067,-861.12
2023-01-12,6007572.67,0.1406,7572.67
2023-01-13,6035942.08,0.4722,35942.08
2023-01-16,6083775.39,0.7925,83775.39
2023-01-17,6079221.55,-0.0749,79221.55
2023-01-18,6122365.63,0.7097,122365.63
2023-01-19,6147568.92,0.4117,147568.92
2023-01-20,6184955.45,0.6082,184955.45
2023-01-30,6286882.46,1.648,286882.46
2023-01-31,6327447.89,0.6452,327447.89
2023-02-01,6414551.25,1.3766,414551.25
2023-02-02,6432794.9,0.2844,432794.9
2023-02-03,6427492.57,-0.0824,427492.57
2023-02-06,6440938.3,0.2092,440938.3
2023-02-07,6487029.4,0.7156,487029.4
2023-02-08,6469952.05,-0.2633,469952.05
2023-02-09,6515291.39,0.7008,515291.39
2023-02-10,6520163.07,0.0748,520163.07
2023-02-13,6576095.45,0.8578,576095.45
2023-02-14,6586649.24,0.1605,586649.24
2023-02-15,6596009.78,0.1421,596009.78
2023-02-16,6459467.37,-2.0701,459467.37
2023-02-17,6453104.1,-0.0985,453104.1
2023-02-20,6521835.63,1.0651,521835.63
2023-02-21,6544359.04,0.3454,544359.04
2023-02-22,6562771.96,0.2814,562771.96
2023-02-23,6568779.39,0.0915,568779.39
2023-02-24,6572792.8,0.0611,572792.8
2023-02-27,6527608.76,-0.6874,527608.76
2023-02-28,6593037.88,1.0023,593037.88
2023-03-01,6630968.73,0.5753,630968.73
2023-03-02,6616059.06,-0.2248,616059.06
2023-03-03,6601739.34,-0.2164,601739.34
2023-03-06,6606779.63,0.0763,606779.63
2023-03-07,6491785.64,-1.7405,491785.64
2023-03-08,6537916.84,0.7106,537916.84
2023-03-09,6540859.9,0.045,540859.9
2023-03-10,6446859.76,-1.4371,446859.76
2023-03-13,6456703.47,0.1527,456703.47
2023-03-14,6368350.46,-1.3684,368350.46
2023-03-15,6452604.66,1.323,452604.66
2023-03-16,6361295.39,-1.4151,361295.39
2023-03-17,6386816.95,0.4012,386816.95
2023-03-20,6372121.03,-0.2301,372121.03
2023-03-21,6461871.28,1.4085,461871.28
2023-03-22,6496502.52,0.5359,496502.52
2023-03-23,6481442.84,-0.2318,481442.84
2023-03-24,6480962.9,-0.0074,480962.9
2023-03-27,6462917.47,-0.2784,462917.47
2023-03-28,6423673.5,-0.6072,423673.5
2023-03-29,6381096.92,-0.6628,381096.92
2023-03-30,6342184.55,-0.6098,342184.55
2023-03-31,6406115.85,1.008,406115.85
2023-04-03,6434804.77,0.4478,434804.77
2023-04-04,6350414.21,-1.3115,350414.21
2023-04-06,6301412.94,-0.7716,301412.94
2023-04-07,6354527.86,0.8429,354527.86
2023-04-10,6261206.63,-1.4686,261206.63
2023-04-11,6267868.5,0.1064,267868.5
2023-04-12,6317187.65,0.7869,317187.65
2023-04-13,6311127.79,-0.0959,311127.79
2023-04-14,6309244.8,-0.0298,309244.8
2023-04-17,6325951.18,0.2648,325951.18
2023-04-18,6294557.48,-0.4963,294557.48
2023-04-19,6269785.12,-0.3936,269785.12
2023-04-20,6223536.27,-0.7376,223536.27
2023-04-21,6092178.81,-2.1107,92178.81
2023-04-24,6079827.01,-0.2027,79827.01
2023-04-25,5977649.24,-1.6806,-22350.76
2023-04-26,6061571.84,1.4039,61571.84
2023-04-27,6091125.4,0.4876,91125.4
2023-04-28,6216947.76,2.0657,216947.76
2023-05-04,6297120.76,1.2896,297120.76
2023-05-05,6269487.57,-0.4388,269487.57
2023-05-08,6291487.51,0.3509,291487.51
2023-05-09,6217246.49,-1.18,217246.49
2023-05-10,6249532.06,0.5193,249532.06
2023-05-11,6308622.34,0.9455,308622.34
2023-05-12,6271527.17,-0.588,271527.17
2023-05-15,6315008.28,0.6933,315008.28
2023-05-16,6276210.13,-0.6144,276210.13
2023-05-17,6345317.32,1.1011,345317.32
2023-05-18,6373814.87,0.4491,373814.87
2023-05-19,6375246.54,0.0225,375246.54
2023-05-22,6417007.68,0.6551,417007.68
2023-05-23,6384349.11,-0.5089,384349.11
2023-05-24,6387015.95,0.0418,387015.95
2023-05-25,6392526.05,0.0863,392526.05
2023-05-26,6415149.86,0.3539,415149.86
2023-05-29,6381538.77,-0.5239,381538.77
2023-05-30,6412791.49,0.4897,412791.49
2023-05-31,6386279.37,-0.4134,386279.37
2023-06-01,6380784.32,-0.086,380784.32
2023-06-02,6442918.52,0.9738,442918.52
2023-06-05,6483982.74,0.6374,483982.74
2023-06-06,6370078.69,-1.7567,370078.69
2023-06-07,6405804.61,0.5608,405804.61
2023-06-08,6397548.81,-0.1289,397548.81
2023-06-09,6403460.2,0.0924,403460.2
2023-06-12,6465504.72,0.9689,465504.72
2023-06-13,6485692.03,0.3122,485692.03
2023-06-14,6488871.49,0.049,488871.49
2023-06-15,6477947.21,-0.1684,477947.21
2023-06-16,6493918.41,0.2465,493918.41
2023-06-19,6461194.83,-0.5039,461194.83
2023-06-20,6418070.72,-0.6674,418070.72
2023-06-21,6361911.05,-0.875,361911.05
2023-06-26,6288858.64,-1.1483,288858.64
2023-06-27,6427830.26,2.2098,427830.26
2023-06-28,6441653.0,0.215,441653.0
2023-06-29,6500788.77,0.918,500788.77
2023-06-30,6577994.15,1.1876,577994.15
2023-07-03,6606796.24,0.4379,606796.24
2023-07-04,6649069.63,0.6398,649069.63
2023-07-05,6637939.62,-0.1674,637939.62
2023-07-06,6649942.72,0.1808,649942.72
2023-07-07,6649482.06,-0.0069,649482.06
2023-07-10,6662259.64,0.1922,662259.64
2023-07-11,6713545.44,0.7698,713545.44
2023-07-12,6665411.58,-0.717,665411.58
2023-07-13,6709039.83,0.6545,709039.83
2023-07-14,6705080.33,-0.059,705080.33
2023-07-17,6708278.14,0.0477,708278.14
2023-07-18,6732809.75,0.3657,732809.75
2023-07-19,6737131.27,0.0642,737131.27
2023-07-20,6690865.8,-0.6867,690865.8
2023-07-21,6689531.43,-0.0199,689531.43
