date,nav,涨幅%,较本金盈亏
2021-01-04,996661.89,,-3338.11
2021-01-05,991540.25,-0.5139,-8459.75
2021-01-06,981821.55,-0.9802,-18178.45
2021-01-07,960195.31,-2.2027,-39804.69
2021-01-08,958498.37,-0.1767,-41501.63
2021-01-11,938984.31,-2.0359,-61015.69
2021-01-12,942492.05,0.3736,-57507.95
2021-01-13,929303.94,-1.3993,-70696.06
2021-01-14,934782.98,0.5896,-65217.02
2021-01-15,946532.97,1.257,-53467.03
2021-01-18,955091.09,0.9042,-44908.91
2021-01-19,961849.06,0.7076,-38150.94
2021-01-20,960829.89,-0.106,-39170.11
2021-01-21,964219.95,0.3528,-35780.05
2021-01-22,954064.97,-1.0532,-45935.03
2021-01-25,939012.85,-1.5777,-60987.15
2021-01-26,934881.87,-0.4399,-65118.13
2021-01-27,936814.37,0.2067,-63185.63
2021-01-28,933697.99,-0.3327,-66302.01
2021-01-29,922971.86,-1.1488,-77028.14
2021-02-01,920515.82,-0.2661,-79484.18
2021-02-02,919905.85,-0.0663,-80094.15
2021-02-03,909295.06,-1.1535,-90704.94
2021-02-04,897151.41,-1.3355,-102848.59
2021-02-05,894742.48,-0.2685,-105257.52
2021-02-08,894389.03,-0.0395,-105610.97
2021-02-09,901487.04,0.7936,-98512.96
2021-02-10,906956.41,0.6067,-93043.59
2021-02-18,928057.51,2.3266,-71942.49
2021-02-19,949702.41,2.3323,-50297.59
2021-02-22,961245.53,1.2154,-38754.47
2021-02-23,956464.04,-0.4974,-43535.96
2021-02-24,958010.54,0.1617,-41989.46
2021-02-25,955063.44,-0.3076,-44936.56
2021-02-26,957704.56,0.2765,-42295.44
2021-03-01,969440.73,1.2254,-30559.27
2021-03-02,965401.36,-0.4167,-34598.64
2021-03-03,973588.43,0.848,-26411.57
2021-03-04,973885.05,0.0305,-26114.95
2021-03-05,983439.13,0.981,-16560.87
2021-03-08,980632.62,-0.2854,-19367.38
2021-03-09,968689.37,-1.2179,-31310.63
2021-03-10,958173.5,-1.0856,-41826.5
2021-03-11,970922.2,1.3305,-29077.8
2021-03-12,974765.92,0.3959,-25234.08
2021-03-15,976956.01,0.2247,-23043.99
2021-03-16,989161.54,1.2493,-10838.46
2021-03-17,988854.15,-0.0311,-11145.85
2021-03-18,987706.41,-0.1161,-12293.59
2021-03-19,989088.91,0.14,-10911.09
2021-03-22,1001868.8,1.2921,1868.8
2021-03-23,994976.93,-0.6879,-5023.07
2021-03-24,993872.15,-0.111,-6127.85
2021-03-25,989525.59,-0.4373,-10474.41
2021-03-26,996772.84,0.7324,-3227.16
2021-03-29,1000668.93,0.3909,668.93
2021-03-30,992980.81,-0.7683,-7019.19
2021-03-31,1001219.45,0.8297,1219.45
2021-04-01,998722.05,-0.2494,-1277.95
2021-04-02,998856.74,0.0135,-1143.26
2021-04-06,1007127.12,0.828,7127.12
2021-04-07,1015011.38,0.7828,15011.38
2021-04-08,1008609.25,-0.6307,8609.25
2021-04-09,1011159.86,0.2529,11159.86
2021-04-12,1007902.64,-0.3221,7902.64
2021-04-13,1002887.98,-0.4975,2887.98
2021-04-14,1012613.42,0.9697,12613.42
2021-04-15,1012451.83,-0.016,12451.83
2021-04-16,1025714.63,1.31,25714.63
2021-04-19,1029324.31,0.3519,29324.31
2021-04-20,1024729.36,-0.4464,24729.36
2021-04-21,1022082.5,-0.2583,22082.5
2021-04-22,1023358.05,0.1248,23358.05
2021-04-23,1012544.06,-1.0567,12544.06
2021-04-26,1008156.68,-0.4333,8156.68
2021-04-27,1005475.1,-0.266,5475.1
2021-04-28,1007772.59,0.2285,7772.59
2021-04-29,1008487.93,0.071,8487.93
2021-04-30,1002781.09,-0.5659,2781.09
2021-05-06,1008510.13,0.5713,8510.13
2021-05-07,1009032.97,0.0518,9032.97
2021-05-10,1015866.39,0.6772,15866.39
2021-05-11,1020153.14,0.422,20153.14
2021-05-12,1027323.35,0.7029,27323.35
2021-05-13,1025022.3,-0.224,25022.3
2021-05-14,1032753.62,0.7543,32753.62
2021-05-17,1021309.95,-1.1081,21309.95
2021-05-18,1026542.54,0.5123,26542.54
2021-05-19,1025112.19,-0.1393,25112.19
2021-05-20,1021347.94,-0.3672,21347.94
2021-05-21,1025659.47,0.4221,25659.47
2021-05-24,1030492.35,0.4712,30492.35
2021-05-25,1033649.28,0.3064,33649.28
2021-05-26,1038312.86,0.4512,38312.86
2021-05-27,1042489.06,0.4022,42489.06
2021-05-28,1039870.03,-0.2512,39870.03
2021-05-31,1044111.18,0.4079,44111.18
2021-06-01,1048004.03,0.3728,48004.03
2021-06-02,1045128.04,-0.2744,45128.04
2021-06-03,1049762.73,0.4435,49762.73
2021-06-04,1047481.54,-0.2173,47481.54
2021-06-07,1051939.54,0.4256,51939.54
2021-06-08,1054969.42,0.288,54969.42
2021-06-09,1058428.21,0.3279,58428.21
2021-06-10,1058784.39,0.0337,58784.39
2021-06-11,1056534.25,-0.2125,56534.25
2021-06-15,1045560.78,-1.0386,45560.78
2021-06-16,1041645.25,-0.3745,41645.25
2021-06-17,1040810.28,-0.0802,40810.28
2021-06-18,1044439.11,0.3487,44439.11
2021-06-21,1050167.08,0.5484,50167.08
2021-06-22,1056638.54,0.6162,56638.54
2021-06-23,1056312.85,-0.0308,56312.85
2021-06-24,1052425.91,-0.368,52425.91
2021-06-25,1053374.88,0.0902,53374.88
2021-06-28,1055187.96,0.1721,55187.96
2021-06-29,1048791.75,-0.6062,48791.75
2021-06-30,1051259.2,0.2353,51259.2
2021-07-01,1040616.92,-1.0123,40616.92
2021-07-02,1039185.44,-0.1376,39185.44
2021-07-05,1048951.31,0.9398,48951.31
2021-07-06,1052190.28,0.3088,52190.28
2021-07-07,1054164.99,0.1877,54164.99
2021-07-08,1047278.2,-0.6533,47278.2
2021-07-09,1054212.57,0.6621,54212.57
2021-07-12,1060903.12,0.6346,60903.12
2021-07-13,1064582.52,0.3468,64582.52
2021-07-14,1060498.64,-0.3836,60498.64
2021-07-15,1053555.41,-0.6547,53555.41
2021-07-16,1052919.55,-0.0604,52919.55
2021-07-19,1052547.74,-0.0353,52547.74
2021-07-20,1054881.06,0.2217,54881.06
2021-07-21,1060574.34,0.5397,60574.34
2021-07-22,1061488.2,0.0862,61488.2
2021-07-23,1053965.97,-0.7086,53965.97
2021-07-26,1044192.5,-0.9273,44192.5
2021-07-27,1031713.55,-1.1951,31713.55
2021-07-28,1011971.2,-1.9135,11971.2
2021-07-29,1024037.13,1.1923,24037.13
2021-07-30,1028257.64,0.4121,28257.64
2021-08-02,1037375.34,0.8867,37375.34
2021-08-03,1040126.73,0.2652,40126.73
2021-08-04,1042532.54,0.2313,42532.54
2021-08-05,1037603.87,-0.4728,37603.87
2021-08-06,1037048.51,-0.0535,37048.51
2021-08-09,1047989.61,1.055,47989.61
2021-08-10,1056741.53,0.8351,56741.53
2021-08-11,1059970.16,0.3055,59970.16
2021-08-12,1062868.53,0.2734,62868.53
2021-08-13,1065515.51,0.249,65515.51
2021-08-16,1068256.47,0.2572,68256.47
2021-08-17,1051861.77,-1.5347,51861.77
2021-08-18,1061408.88,0.9076,61408.88
