date,nav,涨幅%,较本金盈亏
2024-01-02,598358.96,,-1641.04
2024-01-03,598855.98,0.0831,-1144.02
2024-01-04,598981.97,0.021,-1018.03
2024-01-05,596665.21,-0.3868,-3334.79
2024-01-08,593369.53,-0.5524,-6630.47
2024-01-09,595687.44,0.3906,-4312.56
2024-01-10,594988.57,-0.1173,-5011.43
2024-01-11,597210.37,0.3734,-2789.63
2024-01-12,596482.49,-0.1219,-3517.51
2024-01-15,597470.48,0.1656,-2529.52
2024-01-16,596428.68,-0.1744,-3571.32
2024-01-17,592324.15,-0.6882,-7675.85
2024-01-18,588773.72,-0.5994,-11226.28
2024-01-19,587009.82,-0.2996,-12990.18
2024-01-22,575151.87,-2.0201,-24848.13
2024-01-23,574056.0,-0.1905,-25944.0
2024-01-24,579479.44,0.9448,-20520.56
2024-01-25,587600.07,1.4014,-12399.93
2024-01-26,590419.84,0.4799,-9580.16
2024-01-29,584080.27,-1.0737,-15919.73
2024-01-30,577632.87,-1.1039,-22367.13
2024-01-31,567633.51,-1.7311,-32366.49
2024-02-01,560450.73,-1.2654,-39549.27
2024-02-02,546899.46,-2.4179,-53100.54
2024-02-05,523228.29,-4.3283,-76771.71
2024-02-06,516437.85,-1.2978,-83562.15
2024-02-07,505116.46,-2.1922,-94883.54
2024-02-08,519230.29,2.7942,-80769.71
2024-02-19,529646.06,2.006,-70353.94
2024-02-20,533948.78,0.8124,-66051.22
2024-02-21,541135.77,1.346,-58864.23
2024-02-22,547137.15,1.109,-52862.85
2024-02-23,555360.1,1.5029,-44639.9
2024-02-26,560517.63,0.9287,-39482.37
2024-02-27,567676.74,1.2772,-32323.26
2024-02-28,548171.26,-3.436,-51828.74
2024-02-29,556294.3,1.4818,-43705.7
2024-03-01,556655.61,0.0649,-43344.39
2024-03-04,555613.7,-0.1872,-44386.3
2024-03-05,549449.46,-1.1094,-50550.54
2024-03-06,553808.26,0.7933,-46191.74
2024-03-07,555431.36,0.2931,-44568.64
2024-03-08,556651.33,0.2196,-43348.67
2024-03-11,562370.5,1.0274,-37629.5
2024-03-12,567660.98,0.9407,-32339.02
