date,pre_nav,post_nav,月涨幅%,买入额,卖出额,换手率%,费用,分红入账,期末现金,期末持仓,较本金盈亏
2023-01-03,600000.0,598103.8485783101,,252418.16,0.0,21.034846666666667,1896.6299999999997,0.0,345685.6885190748,252418.1600592353,-1896.151421689894
2023-02-01,616348.325284112,615229.1312430842,2.863262409275724,66420.62,81541.75,12.003145293839749,1119.3999999999999,0.0,359687.62704338506,255541.50419969915,15229.131243084208
2023-03-01,623876.6161522259,622851.183068736,1.238896443387083,56619.45,79571.0,10.914854514018966,1025.6299999999999,0.0,381613.74090474774,241237.44216398825,22851.18306873599
2023-04-03,616981.351599818,615716.9724734027,-1.1454117434896105,88485.18,77495.78,13.451051605499526,1264.6199999999997,0.0,369359.9557925585,246357.01668084424,15716.97247340274
2023-05-04,612902.9803230659,611568.7210361295,-0.6737269919016908,101526.70999999999,75101.47,14.409146771231063,1334.4899999999996,0.0,341682.33012240153,269886.390913728,11568.721036129515
2023-06-01,611160.7518629052,609972.5460673989,-0.2609968289461251,80595.47,75376.43000000001,12.760300749399844,1188.3599999999997,0.0,335687.93640389433,274284.6096635045,9972.546067398856
2023-07-03,620705.9210182719,619471.5877971165,1.5572900437830661,75412.11,87294.0,13.10653761229469,1234.4300000000003,0.0,347555.30711679586,271916.28068032063,19471.58779711649
2023-08-01,639860.3981042773,638420.0608624883,3.058812290770896,88517.23,100336.44,14.757411972949036,1440.5800000000002,0.0,358512.5874344031,279907.4734280853,38420.060862488346
2023-09-01,627856.8160976324,626595.1596956692,-1.8522132827160864,65440.39,95941.0,12.851766984313908,1261.9400000000005,0.0,387818.0064099793,238777.15328568988,26595.159695669194
2023-10-09,625139.3369988913,623871.4093713756,-0.43469061038016177,100030.88,68100.0,13.447472431278005,1268.2299999999998,0.0,354643.02612095745,269228.3832504181,23871.409371375572
2023-11-01,631055.8049518616,629830.1796599708,0.9551279637256327,79865.92,82103.36,12.833197851048638,1225.8000000000002,0.0,355699.0240988455,274131.1555611253,29830.179659970803
2023-12-01,645944.2759639415,644465.6912625909,2.323723453601656,80057.92,118257.34,15.350802490203547,1478.8799999999992,0.0,392483.0624471074,251982.62881548353,44465.69126259093
2024-01-02,644098.9469014738,642553.9388312338,-0.2966414593167599,110418.13,93670.0,15.842917534782034,1545.1600000000014,0.0,374189.92860955634,268364.0102216774,42553.93883123377
2024-02-01,596140.8290584995,594106.1653106313,-7.53987651351512,169010.57,79332.23,20.82920577610949,2034.9499999999991,0.0,282484.0039228321,311622.1613877992,-5893.834689368727
2024-03-01,591672.5191186015,590342.1297133729,-0.6335627901269625,75182.57,85504.34,13.579041176305681,1330.6299999999997,0.0,291475.38301818835,298866.74669518456,-9657.87028662709
2024-04-01,624206.519265764,622630.1149516333,5.46936828884923,92212.41,115504.26,16.63845727246898,1576.5799999999995,0.0,313198.0283861269,309432.08656550635,22630.114951633266
2024-05-06,613198.3499149991,611433.3635919528,-1.7982990367483631,116071.97,106824.7,18.174924152266367,1765.3000000000006,0.0,302197.55850940256,309235.8050825503,11433.363591952831
2024-06-03,589941.0943616963,588422.0524528862,-3.7635026986233333,96904.42,83440.90999999999,15.285028600620695,1519.3199999999997,0.0,287814.60194882256,300607.4505040637,-11577.947547113756
2024-07-01,565462.8236077209,563832.8644175169,-4.178835231084099,109491.74,69466.0,15.82400579919897,1630.310000000002,0.0,247634.99258433303,316197.8718331838,-36167.13558248314
2024-08-01,575125.1443560618,573236.6454785907,1.6678313121724075,107491.81999999999,115018.01999999999,19.344471562718134,1888.8399999999992,0.0,253718.7841897185,319517.8612888722,-26763.35452140926
2024-09-02,565043.250625739,563416.9640663353,-1.713024017167819,97487.0,94070.24,16.95067057148865,1626.7300000000007,0.0,248719.41447667236,314697.549589663,-36583.03593366465
2024-10-08,656443.0494670372,653708.406519195,16.025687583348812,188649.0,203872.12,29.89757605923971,2734.4000000000005,0.0,261359.6825912608,392348.7239279342,53708.40651919495
2024-11-01,657543.0779910041,655186.3527706893,0.22608646863881976,135349.0,190223.0,24.756704989939397,2356.53,0.0,313915.86662071815,341270.48614997114,55186.35277068929
