date,nav,涨幅%
2026-09-01,2993240.91,
2026-09-02,2980012.62,-0.4419
2026-09-03,2960156.96,-0.6663
2026-09-04,2969833.4,0.3269
2026-09-07,2985766.57,0.5365
2026-09-08,3025652.37,1.3359
2026-09-09,3016960.73,-0.2873
2026-09-10,2986367.99,-1.014
2026-09-11,2933975.07,-1.7544
2026-09-14,2947161.38,0.4494
2026-09-15,2889319.23,-1.9626
2026-09-16,2913517.32,0.8375
2026-09-17,2925517.08,0.4119
2026-09-18,2940654.68,0.5174
2026-09-21,2998957.6,1.9827
2026-09-22,3006175.0,0.2407
2026-09-23,2990052.91,-0.5363
2026-09-24,2983344.51,-0.2244
